table_catalog,table_name,table_schema
delta_prod,accountableasyncredeemvault_call_processuptoshares,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_queue,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_redeem,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_releaseassets,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_requestredeem,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_reservedliquidity,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_setallowed,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_setoperator,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_setsharestransferable,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_setsigner,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_share,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_shareprice,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_signer,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_strategy,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_supportsinterface,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_symbol,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_totalassets,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_totalqueuedshares,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_totalsupply,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_transfer,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_transferableshares,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_transferfrom,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_withdraw,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_withdrawalrequest,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_call_withdrawalrequests,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_allowedset,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_approval,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_cancelredeemrequest,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_deposit,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_eip712domainchanged,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_lockassets,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_operatorset,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_redeemclaimable,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_redeemrequest,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_releaseassets,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_sharestransferableset,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_signerchanged,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_transfer,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_txauthdataverified,accountable_v1_1_robinhood
delta_prod,accountableasyncredeemvault_evt_withdraw,accountable_v1_1_robinhood
delta_prod,accountableyield_call_acceptborrowerrole,accountable_v1_1_robinhood
delta_prod,accountableyield_call_acceptdefault,accountable_v1_1_robinhood
