amount_usd,block_time,token_bought_amount,token_bought_symbol,token_sold_amount,token_sold_symbol
11.325688340863998,2026-08-27 01:44:17.000 UTC,221422.86557683244,HUGGY,11.326232,USDG
0.757856629699,2026-08-27 01:30:34.000 UTC,11856.785137232278,DOINK,0.758147,USDG
3.0296800898100003,2026-08-27 02:26:41.000 UTC,46043.14300556123,HUGGY,3.028938,USDG
7.903735602839999,2026-08-27 01:51:05.000 UTC,7.89827,USDG,190900.74440585272,HUGGY
28.394422634265005,2026-08-27 02:01:14.000 UTC,561911.0296406113,HUGGY,28.371867,USDG
2.935000503931,2026-08-27 08:23:12.000 UTC,29878.458547564554,EARLY,2.930549,USDG
5.643585845862,2026-08-27 08:28:09.000 UTC,5.639717,USDG,40941.47198335177,DOINK
47.205867923537,2026-08-27 08:04:43.000 UTC,47.163091,USDG,314174.8843553626,DOINK
0.21928524498000002,2026-08-27 09:02:14.000 UTC,1530.4001204877832,EARLY,0.21886,USDG
4.283212915248,2026-08-27 08:30:04.000 UTC,4.279152,USDG,45946.39024306472,EARLY
