first_seen,last_seen,n_pools,n_swaps,project,version
2026-07-01 00:00:39.000 UTC,2026-07-31 23:59:59.000 UTC,277395,58581299,uniswap,3
2026-07-01 01:05:56.000 UTC,2026-07-31 23:59:59.000 UTC,1,16654243,uniswap,4
