amount0,amount1,contract_address,evt_block_date,evt_block_number,evt_block_time,evt_index,evt_tx_from,evt_tx_hash,evt_tx_index,evt_tx_to,liquidity,recipient,sender,sqrtPriceX96,tick
-22187063462476829,56069148,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,2026-09-04,54203950,2026-09-04 10:45:07.000 UTC,8,0xdf4240635511f536c3fd3730bfa6877199d640b2,0x67b3db7abb42e8b5480b6056e804869040162d60d8934c642470d07f689a03e5,2,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,8826269644752544986,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,3982629998294836196054465,-197973
45809082000000000,-115741417,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,2026-09-04,54203950,2026-09-04 10:45:07.000 UTC,16,0x92b06bcefc595932036a1bb15963ec9721d79b93,0x4000d22c34aba3f285a6413c40f880b58f3b929a0ff996ab2d1ffc6d34d1afd5,3,0x4a86009a36fcec5aa341ffceb3205a911fcf6f60,8826269644752544986,0x4a86009a36fcec5aa341ffceb3205a911fcf6f60,0x4a86009a36fcec5aa341ffceb3205a911fcf6f60,3982628959353106621563552,-197973
9900000000000000,-25013373,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,2026-09-04,54203950,2026-09-04 10:45:07.000 UTC,92,0x6f950ecd14f38f3abc33f94321c0f4694488c72c,0x504b961a00b7389ee4ace0cb71d2950a846d20e38ef6edac05f10319ef0ca823,15,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,8826269644752544986,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,3982628734822960836270953,-197973
-28525785121839746,72087822,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,2026-09-04,54203955,2026-09-04 10:45:07.000 UTC,36,0x7164fe6df1cd44a75bc9bcd73fbcad4172cb77a0,0x3fa6619466edf60e5edbf7ad70cc6f04816ce2836b32b0bb12c672a209cf916d,6,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,8826269644752544986,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,3982630831355230132712231,-197973
-27439197382432214,69341917,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,2026-09-04,54203955,2026-09-04 10:45:07.000 UTC,70,0x40cf82be178e5adb7530b9a5474cdaeecd785cb6,0xd4ea52b3fe4a8f1b0fc56858fde1f12418157fcbe26943a79f221bcda0a215de,12,0xb1000000096bd2f8ca9b6883182eccaf31e7c3fd,8826269644752544986,0xb1000000096bd2f8ca9b6883182eccaf31e7c3fd,0xb1000000096bd2f8ca9b6883182eccaf31e7c3fd,3982631453734042804212405,-197973
