avg_hourly_volume_usd,n_swaps,volume_usd,week_start
1444671.8187688154,871015,242704865.553161,2026-07-06 00:00:00.000 UTC
4247589.64272106,1504641,713595059.977138,2026-07-13 00:00:00.000 UTC
3959727.5974393096,2048096,665234236.369804,2026-07-20 00:00:00.000 UTC
4355360.859297411,1353836,731700624.361965,2026-07-27 00:00:00.000 UTC
3833196.847192262,1230399,643977070.3283,2026-08-03 00:00:00.000 UTC
4436823.872632684,1250438,745386410.602291,2026-08-10 00:00:00.000 UTC
5679733.317282113,1659254,954195197.303395,2026-08-17 00:00:00.000 UTC
8182323.964424946,3941578,1374630426.023391,2026-08-24 00:00:00.000 UTC
18816220.786644183,7996838,3161125092.156223,2026-08-31 00:00:00.000 UTC
