kind,journal_mode,size_class,buy_kind,signature,slot,block_time_utc,wallet,mint,spend_sol,index_in_block,block_tx_count,next_block_slot,sandwich,n_attackers,attacker,attacker_is_source,attacker_known_as,front_sig,back_sig,back_where,attacker_entry_sol,attacker_exit_sol,attacker_entry_usd,attacker_exit_usd,attacker_profit_sol,same_pool,quote_mint,price_before,our_price,loss_pp,front_vs_before_pp,all_attackers,why_no_data
dbot_batch5,,0.2+,first_entry,3MpYvwxeGucDgoVY3aVyBLDJynZC4R1dF33yyMbujJ1arwpnMJ47PY6qfdks4Y1JkjnbQbuEhwqJxtmpen9DmWt3,449142088,2026-09-21T18:55:44Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,4FtEnXqwFUc3negW4HhjLVN92p6W1ejE97jNNiNQpump,0.51306504,75,1203,449142089,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000001295722313971153075206260429,,,,
dbot_batch5,,0.2+,first_entry,wPGNYq5nobSiPMdWQ3UtHdCiFnBj6rTNiNXSC9guSaTnBJcj5bACYzuAZDm39iH7cxU9pMNQbkNNhQXman7kHUr,449142659,2026-09-21T18:58:18Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,7xKXTQ3UY7xnuSgoofatemo3C6jNbZtP8Q62ADPU9ayN,0.51171884,209,1390,449142660,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000001041455818430979056266432047,,,,
dbot_batch5,,0.2+,first_entry,5Mh4hqoN5KAzqwxbbDeBLayYhfaTH8BXfgr8RHsBgCwHT3ZpXzNgt5iaH1UFhsZ9s5nTF1Ems2uMqKsLeA7cyUX7,449158266,2026-09-21T20:07:59Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,2jjbtFBnsZNqgNR3N3LVbDtVCLKHK23w3MZzr4a5PooH,0.5117798,730,1163,449158267,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000003233888033774402912223970682,,,,
dbot_batch5,,0.2+,first_entry,2bjr11XMfrWNoWQYD9QCjnpKggcmfhcegze1G8fnA7hKWYssBwZnEiputFsami3ZrwHiUg34cGwNmkKjGPjfBZBN,449196503,2026-09-21T22:58:11Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,8TSUhXRhpEFtUVfDFAQdYCwgp2mEbs2jQk7tAYc1pump,0.51171884,1031,1212,449196504,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,5.000735454867862751816988171E-11,,,,
dbot_batch5,,0.2+,first_entry,33bVGuJgiCwd3wSeZTMzPjuTZ73eXEsyzNxV78oMBnUP6wcBHmTonTrST7EFdYN5pR9VzBa736TxXCKm9t7EZZvy,449198086,2026-09-21T23:05:16Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,EkEq6teGMFEwrs2pWNbCEgSqEoV4q8WLBg9k6SKcgvh,0.51037264,575,1139,449198087,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,5.396061132179132921656144094E-7,,,,
dbot_batch5,,0.2+,first_entry,4UDvNrL7LGZzxUEdc1BntMc2cizZnNF7vo54rYJaSurC38uxBYbPP6xdCYxiuNW1tQAf1qQrUJw1siv2jYBDCXZT,449233139,2026-09-22T01:41:06Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,9DdHxVe1BSPaTy3iGEwvWsooRchNLK61XFAvzot59FwD,0.51171884,556,1267,449233140,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000006000126631285136604312672101,,,,
dbot_batch5,,0.2+,first_entry,291znDUjAvsP53dwFUorXRWM8MagJu2WHyX31Wnurg2UzbRh3JiE4TcY1oMWN2PHUnXXPhNxjdFU85o9uLYaSaFb,449233914,2026-09-22T01:44:31Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,2Gc5qzR1AaSxHweku54sP1ovZ1jThKNDDdescJ8nFLEX,0.51169344,743,1343,449233915,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000001226853584830286593742932261,,,,
dbot_batch5,,0.2+,first_entry,78bxskrob6Du9Y62nka3PhZAK3VPZRbtWDj74rcTrLnnohr41rPKMnbBQXQ9EoSTpmEryQQpK6NVN3BoEriNfut,449233980,2026-09-22T01:44:49Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,65d9zPGzAGDz5ia2V1iHTbtAFHQYd3WjSxmeVGp3UKqa,0.51333936,610,1340,449233981,нет,0,,,,,,,,,,,,,LMT3i1BHgixFqPUgcyteJhnEz2dpy9i3cYy4pi9BoeV,,3.100730878824258564232207016E-7,,,,
dbot_batch5,,0.2+,first_entry,3Mi2fXi84WGTnjHxktY1CXY2kBXessCfbk6CfuQ26mHaHfayjnkdvnWUfsLara9wDEkpVQrveBv1a2YJp3D38PKd,449244268,2026-09-22T02:30:36Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,BjJyQFGTzu6JQfpdXEZ1mmFzhWgFYgEscRz472Zkpump,0.51171884,69,1422,449244269,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000002583676284582272669693416978,,,,
dbot_batch5,,0.2+,first_entry,cqnsLz8sbB5Lyhe2UpHzVwyL7WHBBpwD1cmXbuWxP84gSTMY7GWXjE6s56mA8NSvj8dYjQfTAHZykTSJbwJK2hq,449258898,2026-09-22T03:35:51Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,8eMjbEgwqqBRLoHPFct6d5PRJeDuMD8d4AMhQKFYQceU,0.5117798,898,959,449258899,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000003598180509630631444958692260,,,,
dbot_batch5,,0.2+,first_entry,2pLaxpYiAZmo3657y6Ukjg9cRThmzpWj4S3vgvyp6XeVvzPyPLajXbgmiNsyLgFzekYA81V5DEHzaJ4wmCDn7uSC,449260597,2026-09-22T03:43:25Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,BVdbH7PLTSQxBssqvWTxVDoA8qfsztdVtMsZQSS9CScZ,0.51326824,60,843,449260598,нет,0,,,,,,,,,,,,,AavE1kKKnesPw4MuRJmJ9jZs9QzEE8CPxQ3ViczUDfc1,,0.000004414412437143760906243969773,,,,
dbot_batch5,,0.2+,first_entry,4Y98JshpekAzfJWWsKxn5YRYv4jJceoo789hCeFCASGK4fDw43mjsM7AGqcb89MaK3KnwkQYwhqwWNXbK8rWPREW,449262114,2026-09-22T03:50:13Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,7RiEUpckVhySNnvp6s9p44WPR5uA9qoXANhrv5u7LZGT,0.51320728,766,831,449262115,нет,0,,,,,,,,,,,,,Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,,0.00007412992486036497041857209676,,,,
dbot_batch5,,0.2+,first_entry,2c4KCXjvQzpdWNzZSa7kfgufLh2p7A7JYbDzGysbFNsUh8gppR7RbGMQnBoZFFMqcQcdbHmBt9PGDsq1bB3on9rj,449265974,2026-09-22T04:07:23Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,6JrR1iqPdinYTNvNPWTR2P7e2wSJ1rwdsrKGyhnzjUVr,0.5117798,636,1072,449265975,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.00002374866318317322532252913150,,,,
dbot_batch5,,0.2+,first_entry,2hrpbBZQi76Qy1bNeoNsmPLmVF5re5J1UmuEmzkB55fpcDrVEyFWXhKzf4m9GfTCv46gZUZmHLMBHFDnPCBSktGj,449269312,2026-09-22T04:22:14Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,4ArNPRk8ATz6vVobaLgpvWxK2dQm6BeGi8TPDhCrfSPX,0.51333936,516,1183,449269313,нет,0,,,,,,,,,,,,,AMD8XwJXgQ9WV45Wyj9yFLejxzf2J6VM1PJY8bJEjeES,,1.940897002211260024239714255E-7,,,,
dbot_batch5,,0.2+,first_entry,59hG6YvtSkB2Q724zWyyQ9GU3brrMv8JVfZLYToKyAvsESTuPF1ZyZVCtwzCKGe91AEdkAsb4vbEXJ8DEQj3cnRd,449271135,2026-09-22T04:30:22Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,8eScBQ6GFu2mLmQvraPvLBWeboeLydZqHwXNmr9dFbio,0.51320728,97,1264,449271136,нет,0,,,,,,,,,,,,,bioJ9JTqW62MLz7UKHU69gtKhPpGi1BQhccj2kmSvUJ,,0.001088295400875727127804665565,,,,
dbot_batch5,,0.2+,first_entry,5hitL9wgvQ3SUDHYcKLtHN5W8V6peEDBRYsiRJ4pz1v6Cb2cWKZPi7vpnHVwNuDkFVozphw22MKdeEuNAtMLsPs,449300922,2026-09-22T06:42:41Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,CdhZy8wrRxNxoV8HtoByXKN7mvS46avtuZ1b39tKfx7,0.51169344,18,962,449300923,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000003880440657067666696909966596,,,,
dbot_batch5,,0.2+,first_entry,5ZgPgebPszrfWTT1x8awRbLyrd8XUGLLvgmnaa8HasPRJg8qqS3AcMGGGUY7HhzuXTEaXXVYZwZ84wU8wx9W1YYL,449301446,2026-09-22T06:45:02Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,9DdHxVe1BSPaTy3iGEwvWsooRchNLK61XFAvzot59FwD,0.510205,104,985,449301447,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000004584229882934026589780474448,,,,
dbot_batch5,,0.2+,first_entry,4rvigDwM5kjKNM4isTnk7D2nxkTeheX5YzMxEEXtHvLaoAz3tQ3ZcJco51tEyXSyhbArFp5MAtSYL2nY3wkDRcZ2,449314042,2026-09-22T07:40:46Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,4KTPWjufFmBrw1roDYk2rvdBA2jjdvHFN6jBm2vaKVx7,0.51318188,277,1011,449314043,нет,0,,,,,,,,,,,,,4sWNB8zGWHkh6UnmwiEtzNxL4XrN7uK9tosbESbJFfVs,,0.0006501773732100913053305997952,,,,
dbot_batch5,,0.2+,first_entry,47r3oqFA6tXaK9iuhXiRe5roPzGcjmiAzxLwdoAwoeTF1fRyKJiZQBgYpsMiBgv3zAKmPWBwpgajn7SKQo7kbJ51,449316536,2026-09-22T07:51:54Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,5jWGJESXtvxxa59GjZ1v7fLzn1o9ekzHKJWTkp9iax7,0.51169344,1603,1627,449316537,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,5.885433486440917112923355193E-7,,,,
dbot_batch5,,0.2+,first_entry,qcHWjLJtbeHDQSSbXTn1HHXeeZNBWkNEFx7DGhnu9wHgdF2gLRZs1FaUUye1EhiZrWnHaAedzDiMgNamBc6osma,449402208,2026-09-22T14:12:08Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,CdhZy8wrRxNxoV8HtoByXKN7mvS46avtuZ1b39tKfx7,0.510205,720,1052,449402209,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.00001278251558997990181088716980,,,,
dbot_batch5,,0.2+,first_entry,2mx1y2kTdztpNaxDVGhNBxMgE38SLmbMwACpnrg7sYAKEuZkMk7HNrKLbbiFoTuu9HSzZgRiSowr9EkSBNbuDhpV,449425396,2026-09-22T15:55:37Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,GJSfEpiK9RnmRt9AnZi3FL1b2K6AApcW1SzTs2FeHGis,0.5117798,192,1292,449425397,нет,0,,,,,,,,,,,,,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,0.001380719097345067648918824081,,,,
dbot_batch5,,0.2+,first_entry,2qS3rNBZAXjpzRafRS1jeUgt7otoP1iTPCNSUVbxGB6HpzMGAzaw2zBNXZmpgHdrAA4DcRBwxbTcfNW9vhNwvcg1,449461475,2026-09-22T18:37:20Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,zzjkh1hLbvsFJXWLfE6h4JNbcnRj4eteuKRw42PN2tC,0.51169344,485,1352,449461476,нет,0,,,,,,,,,,,,,6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,,0.001338022752475639635790930237,,,,
dbot_batch5,,0.2+,first_entry,23SC3pkWMDhgn3bFCkh3v97QFJuBVs6iXnaNSRe1HieUUNsDyCAd2z2jCH3ew9oUuW74rbrUkHhE9wZws4NJC2dJ,449464524,2026-09-22T18:51:00Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,GuAyLSJKDaD6NWoJEyn774HobZnhQaqiskSfNvmLpump,0.51306504,752,981,449464525,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,4.197860787889866985541267561E-7,,,,
dbot_batch5,,0.2+,first_entry,2f8x6oYhfPBYcvqBsBM9668P2kHCjBpRgU79HFCZUfzMKgjV5UyyAQQQcJftsGYcdyPbAcAohzeKKAHW7peMgvBQ,449542798,2026-09-23T00:39:05Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,3myTmnz8aNNuqebrrB5DSJrkYLPGfibGRwnH54Bv4hUC,0.51171884,343,1008,449542799,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,4.278764221009097871607042243E-7,,,,
dbot_batch5,,0.2+,first_entry,3Mq6hJT361ZoE4LVcBrth76GvjxAUP4FzRDCexDXe75VnamThQkjAYTZw4rcefxPcK2jxuvEbcRmcpAJXqd7wAGD,449547831,2026-09-23T01:01:20Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,3d4K8PGBcnJ4sApcx1VX6yiWjnx9oCYYjjgSB4hZPJFY,0.51037264,599,890,449547832,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000001016546263083729587897838204,,,,
dbot_batch5,,0.2+,first_entry,5v9WMGUi7hpUVAju5LEGmWToYdNmtoKYH32ZEsgc4Zg4WNzLE8nYg1d1f8f5UU42WTCzEzA2TuKUQW5g259rgR9k,449547942,2026-09-23T01:01:50Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,3myTmnz8aNNuqebrrB5DSJrkYLPGfibGRwnH54Bv4hUC,0.5115512,579,941,449547943,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,3.314557167225202158925532650E-7,,,,
dbot_batch5,,0.2+,first_entry,65YB6xch74DSLDPBDugCTWk86SA4uY4zvj3hopEVt3JNoX1jM4zwdhQPQKQLEaA6pjEt9YDwzHoxCGVLcHC4p8vV,449549278,2026-09-23T01:07:47Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,3d4K8PGBcnJ4sApcx1VX6yiWjnx9oCYYjjgSB4hZPJFY,0.5088588,859,1171,449549279,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,4.114124022545411956772070641E-7,,,,
dbot_batch5,,0.2+,first_entry,2iJtDXGVB3Up37yBhqMAsfXpmkB26JA8YepRik6KDVKdm9wRQcMxpoDyFgFjTD1HhveT1QivoZHt7cMCaFXBwVw5,449549914,2026-09-23T01:10:35Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,A4hXGNeJzHh3Gg6nqjzBs9QTrEFRDiEUKm3id9vVpump,0.51306504,130,1507,449549915,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,4.508855695351567214068850135E-7,,,,
dbot_batch5,,0.2+,first_entry,2BV8uYLpj1WYWZJnKLrecwmxinzEhPGCCfQT87x4QUMV9cTaHAKG4c4HAwQ1dCCM81rNfN2UcgrFKkGKLTE7Bek2,449555662,2026-09-23T01:35:59Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,G8YYGNdptYe4G6RC8EnHwXmoC77xNFveGhBsCyaMWEYi,0.51171884,77,1165,449555663,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,7.520371238727778587104973109E-7,,,,
dbot_batch5,,0.2+,first_entry,5YtY29oo9GfkTrMX5y2gyhxxUank3N9Y1p7wm4XmmMqy3a4SnkFkGwLX1r9kg6Y4N8WPZEV9r4Vhebpwjp87xa6b,449556700,2026-09-23T01:40:33Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,eBVREVEKk157f1DCqadkZ7przqHscjPwfvYgftCpump,0.51171884,1184,1285,449556701,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000001166541936435846222166139745,,,,
dbot_batch5,,0.2+,first_entry,SRfG9Uz6iyu6BsiYB8ohguMvj16sT1RmcCLukgmkDqyUPfpBt5DwyZB6BEPmrkv7BUq5Gdfdc3oMAPpgfnmops2,449663752,2026-09-23T09:33:22Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,E8fsmahzoa4WGZ1dCnGBTzgXRxz9T7nC17KWGkzGxray,0.510205,1288,1472,449663753,нет,0,,,,,,,,,,,,,CehKYf8jXN2E6dx4aLkekQZ6TGPLihcGkkaWj8PDVmJK,,6.188654018542164874566775902,,,,
dbot_batch5,,0.2+,first_entry,4X3ZjhDGbbSx6hJATfmsexSkkvAQknnPdatnG58w3AY26HMD3PPNG5wo563RdxWzvJZfoihYzg8yj85w1PheuzmU,449776571,2026-09-23T17:53:10Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,Gbyv2fPkswX8BqEtheYvDCwqqZHfgCYEnyG71fyvhASy,0.20408824,1057,1342,449776572,нет,0,,,,,,,,,,,,,7ga6rtE9qSb3wdEiDCpTu2kHqoGVfT52jD8ign1rYTvx,,0.0001514085090555813107529874549,,,,
dbot_batch5,,0.2+,first_entry,48ZgeBZDxDND6YPLBwUmsaYi28yRgzQt9Mux4KThhjjr5dgAnAKozBpQF8yoENwPcRbKNBeLgNE1iwZK8oWSyKvL,449802031,2026-09-23T19:45:42Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,HeH8ig3uyQE46UDRjRMSjF5ChAi9hoJeaJkop56im78Z,0.20253884,491,1350,449802032,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,3.235228254589203456119115305E-7,,,,
dbot_batch5,,0.2+,first_entry,3hzLjzVy7JdVma3QvsBbsvVEWe4nHDpqT7WyZL9PAe5j5pT5G7aTtm2h1Q7CRkFWEgcAPy7EZgeGu139uuxdZ5fz,449802076,2026-09-23T19:45:54Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,7zDFEjKBmwafXpcKXLZpCmo1rfxRWBKEJHxivDSyviLC,0.20388504,1281,1698,449802077,нет,0,,,,,,,,,,,,,native_sol,,2.090558258596878244381252653E-7,,,,
dbot_batch5,,0.2+,first_entry,2jYfHD9NLjkteBD1DHAn3JmMPvt9zGTwdkPV4kVyvt9rnNens3ogLhrcBTTLtstHAcxrbfPX4ySFWRdWGECNswtg,449820828,2026-09-23T21:08:46Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,FLyzixQCC1osJxi3uhQAntuKvgDZ1pUAiDEobi8z9MNL,0.20253884,1002,1366,449820829,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,8.171858483919953791254066588E-7,,,,
dbot_batch5,,0.2+,first_entry,E1cHjyGLJFebxUGzfToTNw1mQDcVbLx5tQVsTRZXC9K59gpG7ba9raE1Tj8YD8T9M37SsuPpq4rffPkUCUxRRQZ,449854644,2026-09-23T23:38:34Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,2PENPmfgJfq6CG3k4byj4oWwHf8SerqakmYHMkUupump,0.20119264,619,1112,449854645,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000003679091002427006890493937381,,,,
dbot_batch5,,0.2+,first_entry,37h9GhpM4TQpnnKMF39gGbVJyokq2DTSXsh3fkWg4kGjPvFW4UbUV2nM6dL8vyRYUhHJMQgnfQM2SHwqeU6S4FtW,449862094,2026-09-24T00:11:32Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,CvUX4G2tzq7J3ECmNvWZLayZYV6KpgQp6SJ5K8Uvsu5g,0.20253884,408,1173,449862095,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,8.537122824998193003486059736E-7,,,,
dbot_batch5,,0.2+,first_entry,3iW3V8zRxKSExKMv1rniViEJbtDqKXkEZsNrfZWNhx5FJdqhWs6hJAMqvYZiuCB31J18en9hm91pMjiieMhq3Yyn,449910891,2026-09-24T03:47:24Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,AVXPQqxd32ABAP5F7shHKNeWBpos9miktdH3uKqgXYJZ,0.2025998,653,1237,449910892,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.00001017458696917857161007282464,,,,
dbot_batch5,,0.2+,first_entry,ozu3pwwJaM4i43SQkZH3vj9iBuxzK3NGEd3TaK7VSWfT23Pi3Y9E6xKpPTs6H4QAejrttAsfQkcbn3SMxGX4EyL,449990934,2026-09-24T09:40:57Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,B4cqDdBWDf6hgy1rma8u4JpoTnoycDQyg33aR48mfFvE,0.2041746,370,1111,449990935,нет,0,,,,,,,,,,,,,HTmQz7My6MehV7bjhJ6jde8nDND1yvsz68d24LP7YgUQ,,0.01323049505865527133445672424,,,,
