kind,journal_mode,size_class,buy_kind,signature,slot,block_time_utc,wallet,mint,spend_sol,index_in_block,block_tx_count,next_block_slot,sandwich,n_attackers,attacker,attacker_is_source,attacker_known_as,front_sig,back_sig,back_where,attacker_entry_sol,attacker_exit_sol,attacker_entry_usd,attacker_exit_usd,attacker_profit_sol,same_pool,quote_mint,price_before,our_price,loss_pp,front_vs_before_pp,all_attackers,why_no_data
ours,live,0.05,first_entry,2pB1S4KCsv7uvDh122s2Dk6CEC7iwxqJzGNwNZ5g9nW1oJuafCGsFxuXFLo4NGmdjnJZ1tyvn3QjTNFDPN8SzuRu,449910889,2026-09-24T03:47:23Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,AVXPQqxd32ABAP5F7shHKNeWBpos9miktdH3uKqgXYJZ,0.05705168,44,1438,449910890,нет,0,,,,,,,,,,,,,6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,,0.003329094897154992215585526341,,,,
ours,live,0.05,first_entry,36ErV9JvoETZDti2yCu1yjnDvQnWFsHxyD2W2hHf3NKxnpt1UWfACxdimJCvmHRBJVmWkXQE3Wqmstw7MRmSa9WQ,449990935,2026-09-24T09:40:58Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,B4cqDdBWDf6hgy1rma8u4JpoTnoycDQyg33aR48mfFvE,0.05556324,410,1174,449990936,нет,0,,,,,,,,,,,,,,,,,,,
ours,live,0.05,first_entry,5YWg3g588LtzkDFKAbvK4cefS8KujAN5S9aN3irq6KCmHpfJgWuYj1ywAX4TbXejRmBbT9mur2dYdACD1LXGvTjf,450014536,2026-09-24T11:25:05Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,HMD6LV9hj6SdSKF4oTd7dYTVUhVL8MzYvPZYgb7BQSrW,0.05705168,1052,1286,450014537,нет,0,,,,,,,,,,,,,CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,,0.004672840088925226822255546466,,,,
ours,live,0.05,first_entry,bBfDJX5rcHuYwHH3xtL67MyEWHoaavpH9odeRZbfNaS2JCKe1RPvAabKdpx6StXtmGPYn1jMLsnBPVR3TPf4now,450020493,2026-09-24T11:51:20Z,4s87RRC2V2XAJD6R8U2dP8kQH99Z2wA6fg88ZVfV4j4N,DEW9dSN6QpWyNthphCpMmAbZP1Q4cEKR9xQXAri98WDP,0.0540748,142,969,450020494,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.00007504297887751315540565997350,,,,
dbot_batch5,,0.2+,first_entry,4h6NyC6pnkZUwRnS5qbCWJdZBCWD5novQLfaBMG3hFUCovFYbx6gXqz8jSSne4C3sd13cKrZ3gWSbmzXUN1Kj3i6,448556595,2026-09-19T23:31:20Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,4htjusK8sBXXpGmcnbTmQHCRTFoh4fSwQryWEnTmpump,0.51171884,254,1125,448556596,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000001226351027251389964701678005,,,,
dbot_batch5,,0.2+,first_entry,5EjGCBzY3VCjduEy25wchUmFnhTFzbQ5oP7oA5KEp7wxiWZLUAwSj8sgWFddmbvgABYKwprocgheYCsnu8Y2Wq7w,448677426,2026-09-20T08:27:55Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,GTBxUiw6wJdmmkCGZgRHLyYxqu1vG4KtRpeox6yDpump,0.51171884,799,914,448677427,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.00003206573096806886266438436741,,,,
dbot_batch5,,0.2+,first_entry,5S4tjJueECADKjh9DjaExetd1DjKc4WKcwegPVTcYC2r7EbpMhfrLbwEhwnAYtKezovKfWmWLyaYBpFfctfD4HRa,448797387,2026-09-20T17:20:38Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,8d3bQS9vNy3BfqK9dX95JRoaTbWoiuL2hzmSFLDopump,0.51171884,428,1128,448797388,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000003772690019068035492784661735,,,,
dbot_batch5,,0.2+,first_entry,4b7NqFv75PSYfxYQKV5mFNnf25WhE9qqMd5Ka92JwnfaTMAiw6tBpdnHLpxx8TZPCU9mSdkHbAsoSRkqJJHnyju7,448803354,2026-09-20T17:47:13Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,95pCcNPexz8rg1Sazi2GscfAGSFy3NXSPDL9TdEMZE2V,0.51306504,402,1168,448803355,нет,0,,,,,,,,,,,,,So11111111111111111111111111111111111111112,,0.000003858209988036324817997996847,,,,
dbot_batch5,,0.2+,first_entry,5auH2VdsjDotuwzzuTg3FsZHGMfd6e3tErrBKRTs87BbMZqhEJ2H89P6qUtGXpj9VneuEy5vTvet5sDxJx5CxLwQ,448804110,2026-09-20T17:50:37Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,4MMQY9bwkxxTtsK3W227Q5ABT6yFY8Pmn9Ze7wmAXKY8,0.5117798,969,1114,448804111,нет,0,,,,,,,,,,,,,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,0.01868599833765873349536942103,,,,
dbot_batch5,,0.2+,first_entry,5uf3cKC2DoLZjv8885tzaqkxbVoMbE1d29cjVyP1DncGAyxDSAXXm15YcR1d31nL1ukYik7oPPVCUJwRuzpJ9sh6,448808020,2026-09-20T18:07:58Z,5Y8h877swoTzTdc8in9hU3SvXXVv1q9p19Y85tAsdqBv,ECnRTYUQSrLKivaDMPrSya9bELW5fzsPianC15x8BKDg,0.51475668,1023,1576,448808021,нет,0,,,,,,,,,,,,,3ZLekZYq2qkZiSpnSvabjit34tUkjSwD1JFuW9as9wBG,,0.00002541566692787182890325059449,,,,
