friday_utc,token_address,z1_end_n,z1_end_qty,z1_end_vol,z1_start_n,z1_start_qty,z1_start_vol,z2_end_n,z2_end_qty,z2_end_vol
2026-08-07 00:00:00,0x072f979c2cac8e1391b0162a87fee094bf8744a0,0,,,0,,,0,,
2026-08-14 00:00:00,0x072f979c2cac8e1391b0162a87fee094bf8744a0,0,,,0,,,0,,
2026-08-21 00:00:00,0x072f979c2cac8e1391b0162a87fee094bf8744a0,0,,,0,,,0,,
2026-08-28 00:00:00,0x072f979c2cac8e1391b0162a87fee094bf8744a0,0,,,0,,,0,,
2026-07-03 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,,0,,
2026-07-10 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,,0,,
2026-07-17 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,,0,,
2026-07-24 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,,0,,
2026-07-31 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,,0,,
2026-08-07 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,,0,,
2026-08-14 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,,0,,
2026-08-21 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,,0,,
2026-08-28 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,,0,,
2026-07-03 00:00:00,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,0,,,0,,,0,,
2026-07-10 00:00:00,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,0,,,2,0.021884383959513753,1.9549191140280002,2,0.02188438013864932,1.9552239622
2026-07-17 00:00:00,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,0,,,0,,,0,,
2026-07-24 00:00:00,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,0,,,0,,,0,,
2026-07-31 00:00:00,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,0,,,0,,,0,,
2026-08-07 00:00:00,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,0,,,0,,,0,,
2026-08-14 00:00:00,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,0,,,0,,,0,,
2026-08-21 00:00:00,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,0,,,0,,,0,,
2026-08-28 00:00:00,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,0,,,0,,,0,,
2026-07-03 00:00:00,0x0e6e67ba88e7b5d9b67636a215c76779b948de79,0,,,0,,,0,,
2026-07-10 00:00:00,0x0e6e67ba88e7b5d9b67636a215c76779b948de79,0,,,2,0.07143215907475356,1.9220452590540003,2,0.07143217810347892,1.922346948056
2026-07-17 00:00:00,0x0e6e67ba88e7b5d9b67636a215c76779b948de79,0,,,0,,,0,,
2026-07-24 00:00:00,0x0e6e67ba88e7b5d9b67636a215c76779b948de79,0,,,0,,,0,,
2026-07-31 00:00:00,0x0e6e67ba88e7b5d9b67636a215c76779b948de79,0,,,0,,,0,,
2026-08-07 00:00:00,0x0e6e67ba88e7b5d9b67636a215c76779b948de79,0,,,0,,,0,,
2026-08-14 00:00:00,0x0e6e67ba88e7b5d9b67636a215c76779b948de79,0,,,0,,,0,,
2026-08-21 00:00:00,0x0e6e67ba88e7b5d9b67636a215c76779b948de79,0,,,0,,,0,,
2026-08-28 00:00:00,0x0e6e67ba88e7b5d9b67636a215c76779b948de79,0,,,0,,,0,,
2026-07-03 00:00:00,0x0f17206447090e464c277571124dd2688e48aea9,0,,,0,,,0,,
2026-07-10 00:00:00,0x0f17206447090e464c277571124dd2688e48aea9,0,,,2,0.009311104192427838,1.926582343158,2,0.009311103720362056,1.8024875025040001
2026-07-17 00:00:00,0x0f17206447090e464c277571124dd2688e48aea9,1,0.018719297752684095,3.8280239034240005,3,0.0484717361679251,9.9191531418,2,0.001352631236503437,0.255930975359
2026-07-24 00:00:00,0x0f17206447090e464c277571124dd2688e48aea9,0,,,0,,,0,,
2026-07-31 00:00:00,0x0f17206447090e464c277571124dd2688e48aea9,0,,,0,,,0,,
2026-08-07 00:00:00,0x0f17206447090e464c277571124dd2688e48aea9,0,,,0,,,0,,
2026-08-14 00:00:00,0x0f17206447090e464c277571124dd2688e48aea9,0,,,0,,,0,,
2026-08-21 00:00:00,0x0f17206447090e464c277571124dd2688e48aea9,0,,,0,,,0,,
2026-08-28 00:00:00,0x0f17206447090e464c277571124dd2688e48aea9,0,,,0,,,0,,
