last_trade,n_trades,pool_address_hex,project,token_bought_symbol,token_sold_symbol,total_vol_usd,version
2026-09-05 05:52:40.000 UTC,7302,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,USDG,RCAT,1330174.086660256,4
2026-09-05 05:57:47.000 UTC,9752,A0A79BC62FC822F3BCDF0EBBC586031781C53A5B,uniswap,IBM,USDG,1330130.4036428377,3
2026-09-05 06:02:26.000 UTC,4824,1BAD145C8F06444E0DF81C28257CD20231BD1F16,uniswap,BE,USDG,1327417.841240364,3
2026-09-05 05:51:06.000 UTC,7755,C6517047B189C72D3BAA9EF37D1D28F27A63638A,uniswap,BA,USDG,1320272.459113236,3
2026-09-05 05:58:54.000 UTC,9138,A0A79BC62FC822F3BCDF0EBBC586031781C53A5B,uniswap,USDG,IBM,1309793.7290800626,3
2026-09-05 05:53:04.000 UTC,8386,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,RCAT,USDG,1307435.4424235648,4
2026-09-05 05:50:49.000 UTC,7108,C6517047B189C72D3BAA9EF37D1D28F27A63638A,uniswap,USDG,BA,1304837.4166942681,3
2026-09-05 05:44:51.000 UTC,7018,F8996E22AC7A67FAE741830AD83B3B4D5E5DE203,ramsesxyz,WETH,NVDA,1302131.6769908257,cl
2026-09-05 05:47:58.000 UTC,7573,F8996E22AC7A67FAE741830AD83B3B4D5E5DE203,ramsesxyz,NVDA,WETH,1296723.5829312843,cl
2026-09-05 06:06:36.000 UTC,6421,8366A39CC670B4001A1121B8F6A443A643E40951,uniswap,RUN,USDG,1296639.2572958246,4
2026-09-05 02:30:44.000 UTC,6980,0FA7BC480885DCF58AD2EF63EC7289CF2481D51C,uniswap,SLV,USDG,1265525.5642511982,3
2026-09-05 06:06:15.000 UTC,6722,CA5904C0A9D42F0EC1BF760FDF779907877144FD,uniswap,USDG,FIG,1261648.10677873,3
