table_name,table_schema
oxpoolimplementationsource_call_nextclaimsolidtimestamp,0xdao_fantom
oxpoolimplementationsource_call_notifybribeorfees,0xdao_fantom
oxpoolimplementationsource_call_notifybribetokens,0xdao_fantom
oxpoolimplementationsource_call_notifyfeetokens,0xdao_fantom
oxpoolimplementationsource_call_oxpooladdress,0xdao_fantom
oxpoolimplementationsource_call_oxpoolfactoryaddress,0xdao_fantom
oxpoolimplementationsource_call_rewardtokenbyindex,0xdao_fantom
oxpoolimplementationsource_call_solidpooladdress,0xdao_fantom
oxpoolimplementationsource_call_solidpoolinfo,0xdao_fantom
oxpoolimplementationsource_call_stakingaddress,0xdao_fantom
oxpoolimplementationsource_call_symbol,0xdao_fantom
oxpoolimplementationsource_call_syncbribetokens,0xdao_fantom
oxpoolimplementationsource_call_tokensallowlistaddress,0xdao_fantom
oxpoolimplementationsource_call_totalsupply,0xdao_fantom
oxpoolimplementationsource_call_transfer,0xdao_fantom
oxpoolimplementationsource_call_transferfrom,0xdao_fantom
oxpoolimplementationsource_call_updatetokenallowedstate,0xdao_fantom
oxpoolimplementationsource_call_updatetokensallowedstates,0xdao_fantom
oxpoolimplementationsource_call_withdrawlp,0xdao_fantom
oxpoolimplementationsource_evt_approval,0xdao_fantom
oxpoolimplementationsource_evt_transfer,0xdao_fantom
oxpoolproxytemplate_call_implementationsourceaddress,0xdao_fantom
oxpoolproxytemplate_call_initialize,0xdao_fantom
partnersrewardspool_call_acceptownership,0xdao_fantom
partnersrewardspool_call_addreward,0xdao_fantom
partnersrewardspool_call_balanceof,0xdao_fantom
partnersrewardspool_call_earned,0xdao_fantom
partnersrewardspool_call_execute,0xdao_fantom
partnersrewardspool_call_exit,0xdao_fantom
partnersrewardspool_call_getreward,0xdao_fantom
partnersrewardspool_call_getrewardforduration,0xdao_fantom
partnersrewardspool_call_initializeproxystorage,0xdao_fantom
partnersrewardspool_call_ispartner,0xdao_fantom
partnersrewardspool_call_lastpausetime,0xdao_fantom
partnersrewardspool_call_lasttimerewardapplicable,0xdao_fantom
partnersrewardspool_call_legacyrewardtokens,0xdao_fantom
partnersrewardspool_call_nominatedowner,0xdao_fantom
partnersrewardspool_call_nominatenewowner,0xdao_fantom
partnersrewardspool_call_notifyrewardamount,0xdao_fantom
partnersrewardspool_call_operator,0xdao_fantom
partnersrewardspool_call_owner,0xdao_fantom
partnersrewardspool_call_paused,0xdao_fantom
partnersrewardspool_call_proxystorageinitialized,0xdao_fantom
partnersrewardspool_call_recovererc20,0xdao_fantom
partnersrewardspool_call_rewarddata,0xdao_fantom
partnersrewardspool_call_rewardpertoken,0xdao_fantom
partnersrewardspool_call_rewards,0xdao_fantom
partnersrewardspool_call_rewardtokens,0xdao_fantom
partnersrewardspool_call_rewardtokenslength,0xdao_fantom
partnersrewardspool_call_setoperator,0xdao_fantom
partnersrewardspool_call_setpartner,0xdao_fantom
partnersrewardspool_call_setpaused,0xdao_fantom
partnersrewardspool_call_setrewardsdistributor,0xdao_fantom
partnersrewardspool_call_setrewardsduration,0xdao_fantom
partnersrewardspool_call_stake,0xdao_fantom
partnersrewardspool_call_stakefor,0xdao_fantom
partnersrewardspool_call_stakingtoken,0xdao_fantom
partnersrewardspool_call_totalsupply,0xdao_fantom
partnersrewardspool_call_userrewardpertokenpaid,0xdao_fantom
partnersrewardspool_call_withdraw,0xdao_fantom
partnersrewardspool_evt_operatorstatus,0xdao_fantom
partnersrewardspool_evt_ownerchanged,0xdao_fantom
partnersrewardspool_evt_ownernominated,0xdao_fantom
partnersrewardspool_evt_partnerstatus,0xdao_fantom
partnersrewardspool_evt_pausechanged,0xdao_fantom
partnersrewardspool_evt_recovered,0xdao_fantom
partnersrewardspool_evt_rewardadded,0xdao_fantom
partnersrewardspool_evt_rewardpaid,0xdao_fantom
partnersrewardspool_evt_rewardsdurationupdated,0xdao_fantom
partnersrewardspool_evt_staked,0xdao_fantom
partnersrewardspool_evt_withdrawn,0xdao_fantom
rewardsdistributor_call_incentivizedpools,0xdao_fantom
rewardsdistributor_call_incentivizedpoolweights,0xdao_fantom
rewardsdistributor_call_oxdlockpool,0xdao_fantom
rewardsdistributor_call_oxsolidrewardspooladdress,0xdao_fantom
rewardsdistributor_call_setoxdlockpool,0xdao_fantom
rewardsdistributor_call_setoxsolidrewardspool,0xdao_fantom
rewardsdistributor_call_setrewardpoolowner,0xdao_fantom
solidlylens_call_bribeaddresbypooladdress,0xdao_fantom
solidlylens_call_bribetokensaddressesbypooladdress,0xdao_fantom
solidlylens_call_gaugeaddressbypooladdress,0xdao_fantom
solidlylens_call_poolinfo,0xdao_fantom
solidlylens_call_poolreservesinfo,0xdao_fantom
solidlylens_call_poolsaddresses,0xdao_fantom
