friday_utc,token_address,x_end_n,x_end_qty,x_end_vol,x_full_n,x_full_vol,x_start_n,x_start_qty,x_start_vol,z_end_n,z_end_qty,z_end_vol,z_start_n,z_start_qty,z_start_vol
2026-08-14 00:00:00,0x05b37fb53a299a1b874a619e1c4c404d52c36f4c,243,94.84788680597045,16905.55282944586,4522,287684.29711195274,258,92.13771461352712,16321.104419785188,9781,4908.30917207726,879159.0918122549,111,35.949435348306444,6395.026998556952
2026-08-21 00:00:00,0x05b37fb53a299a1b874a619e1c4c404d52c36f4c,58,13.612023685781043,2094.7806096396275,2365,111056.28579897905,51,8.1806119167929,1243.933758877221,95,115.27817479930978,17430.798858736758,224,133.4923617958321,20429.51574588077
2026-08-28 00:00:00,0x05b37fb53a299a1b874a619e1c4c404d52c36f4c,2004,1212.5273489499125,200149.184240617,64612,6332788.949525354,396,249.2616488291689,38001.737217268696,5138,3303.879414635745,505291.0321401215,1174,1618.446856887304,260734.41052677328
2026-07-03 00:00:00,0x072f979c2cac8e1391b0162a87fee094bf8744a0,0,,,0,,0,,,0,,,0,,
2026-07-10 00:00:00,0x072f979c2cac8e1391b0162a87fee094bf8744a0,0,,,0,,0,,,0,,,0,,
2026-07-17 00:00:00,0x072f979c2cac8e1391b0162a87fee094bf8744a0,0,,,0,,0,,,0,,,0,,
2026-07-24 00:00:00,0x072f979c2cac8e1391b0162a87fee094bf8744a0,0,,,0,,0,,,0,,,0,,
2026-07-31 00:00:00,0x072f979c2cac8e1391b0162a87fee094bf8744a0,0,,,0,,0,,,0,,,0,,
2026-08-07 00:00:00,0x072f979c2cac8e1391b0162a87fee094bf8744a0,0,,,0,,0,,,0,,,0,,
2026-08-14 00:00:00,0x072f979c2cac8e1391b0162a87fee094bf8744a0,0,,,1,0.001861160046,0,,,0,,,0,,
2026-08-21 00:00:00,0x072f979c2cac8e1391b0162a87fee094bf8744a0,0,,,0,,0,,,0,,,0,,
2026-08-28 00:00:00,0x072f979c2cac8e1391b0162a87fee094bf8744a0,0,,,4,0.549688912096,0,,,0,,,0,,
2026-07-03 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,0,,,0,,,0,,
2026-07-10 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,0,,,0,,,0,,
2026-07-17 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,0,,,0,,,0,,
2026-07-24 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,0,,,0,,,0,,
2026-07-31 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,0,,,0,,,0,,
2026-08-07 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,0,,,0,,,0,,
2026-08-14 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,0,,,0,,,0,,
2026-08-21 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,0,,,0,,0,,,0,,,0,,
2026-08-28 00:00:00,0x0b5fb4031cae9163db10b169ee72685f0edc8545,1,0.14181099651443144,2.4763200000000003,7,206.75705089861918,0,,,0,,,0,,
2026-07-03 00:00:00,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,0,,,0,,0,,,0,,,0,,
2026-07-10 00:00:00,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,0,,,8,5.877043381207,0,,,2,0.02188438013864932,1.9552239622,2,0.021884383959513753,1.9549191140280002
2026-07-17 00:00:00,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,0,,,0,,0,,,0,,,0,,
2026-07-24 00:00:00,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,0,,,0,,0,,,0,,,0,,
