column_name,data_type,ordinal_position
contract_address,varbinary,1
evt_tx_hash,varbinary,2
evt_tx_from,varbinary,3
evt_tx_to,varbinary,4
evt_tx_index,integer,5
evt_index,bigint,6
evt_block_time,timestamp(3),7
evt_block_number,bigint,8
evt_block_date,date,9
fee,integer,10
pool,varbinary,11
tickspacing,integer,12
token0,varbinary,13
token1,varbinary,14
