deployer,n_launches
0x734c43662965cbe62c8680b0dcda933ff8a5af25,26
0xc8d92a8eed96072a086dee2903ed48119850b2c6,26
0xe6abb12c2b76128ded32c4cde7d9d639aa96672e,26
0x6d4406f26f0f95ce608386e5b452cdda46d9ef4f,25
0x930698f378445388a135670f5dce471f04394597,25
0xdd6c7f890e0a1ce98927fb60433a43a53150b9b8,25
0x89b8775c3eaeba409bf726799aa16134fd139bbe,25
0x945009d034d35523151f7a399a13eb6e054ea932,25
0x6cf9cec0d090c437887da305903c4ba3dff84d9c,24
0x6935fba4b933fce02d30f344cbd0841efa3342d6,24
0xce28324fbecb4cf6384a1e60d617f758f1f39006,24
0xf07bdf85b5c6326f3331c179743f21439ce50a2c,24
0x7f065824efc9363d88705f3817b1394636e1c411,24
0xa4f75a09ed1c7eb70e78f97fb8b2838f3d3fcc93,24
0x9bbe4bf42ba4770b231483499aec16b66399c58b,24
0x85ac9749895031afd58aaa3d9343ed8027f87acd,24
0xa5e6fc5b1d87042a99a48b205dfc1bd3da045975,24
0xf9bffa5b8732248da3e2228557444499d4d30c80,24
0x6b0edd1c0f8238f4fa372ae5179ffa02cdb05ce1,24
0x664d9aec7b2bf1c37b184f0c198a8a6e85592823,24
0xa5c646566dc3d28e785704a6e6ef769b2cbbe268,23
0x41861a607fe6553d09bd185d2322939c3d5cf9b5,23
0x68d1a4f5b0fe50072b5b887b68787cd06d25f129,23
0xc2b52aed55a39ca8c92dbb436abf8450e0a2b7a3,23
0x7fac0dedac4a8a265888fe6f9bb6dd5ed459435e,23
0x140d3776997811805b44a83a62e112107797f000,23
0xb923b8275f4ae65a280836211732dc961c414196,22
0x23ef0a53b94960c29e74f7a7197c9d8e16a74731,22
0x2da97cfa1904409aa99535ddd1ddad457e5632cc,22
0xf94ebf72c7335fae118c43387c34bc8c783d2e10,22
0x7979d4242a43124c19d3cff56c75ae70ea3b5900,22
0xdf4c6df37c37cd93001964d5827a3d234e7b3aaa,22
0xccb9d692f9ca8d6069573054e41661a57e0a3963,21
0x147fc5ee41f3c98d46fe190098b4fc28b66d3018,21
0x9f677f45629028efd6b4725dd9ddae7b06e65a20,21
0x9fea7a4bc442d76009d5295b6f6fbc0eeb76cbd5,21
0xf4feb9ba65d7920d1630ac4d222246505f46ca7f,21
0xa935f7d1bd8546e44614b057d3e40dde700bea67,21
0xfba6a744be28e3f70c228609c67e73aa2d696a2e,21
0x0d9cd5d77e029578864816e060e7ef40be62d819,21
0x6a87bbbfce0b0bd894d01b612c47025c9f31bf79,21
0x2dfd095b4ce6903ba7f7aa1bcbf347fc1d947848,20
0x15d3b6f55aa0966b18797d14b3c7dcbf1d087250,20
0x69d571af5c458837b75bf03085a5ee9e299972af,20
0x999cd84e220b1b60887a593a0364c528a60f321f,20
0xaa867269aaedafd66d3a83b9c252b1c9b0efea99,20
0xa6fcb2e03633ca44d3463d5881ab47eb4f70ccc4,20
0x44f1ce1eb58dc49cc1cfea34800c304b6e2d02da,20
0x8635e9c22a93c127d3c8d7ed5d6300b3843a23e0,20
0x675937a9fa7ecaf0e87f37d2e445e15f383dbab9,20
0x6288c4fdc6a744bf570958d473c3f6d9b0a97e15,19
0xf99bdee7e24686fe32836ab37368526170979c30,19
0xde4e2eafefae09b432b139a6e20f5e828ef57d60,19
0xcdd008d783051e3a6fd4dddae55c75ed645a180c,19
0x548abd2f7a66d90d83946a28677d576984f75370,19
0x6cb70406370013ddcbdc3b649db43ecce8cfece1,19
0x0217ad85bbb0ae461a3b27ef9091101cffd7ec66,19
0x4fabafd18839a196f225e57105124f3c31f0bc40,19
0x707cd965aa77a86d2ccb724e03cb7d0c387ad89f,19
0x93dcc2831c337293f3bf224a722eec377cdddeed,19
0xbf3d6aa3af2b638f5d094c5a17591a6995afad9e,19
0xcbd4df2a216fcc6999fe0d8d2c9ddea687beb453,19
0xe186dbb44c27a653ced6d1311a4b1c599e483025,18
0xbc3c7f7b2a495a0108db55f99776bcd5bca535fe,18
0x29b0aeb8ca4d601e21a00591e9008789e74dfe71,18
0x4636ac0e2de72981a4f443b4f891da1102a22843,18
0x6ecb3cc5f1616153d9a428af4b65a772b13edcb6,18
0x23c98294f6cb63a0a1d1b10096bfa7823ddae31b,18
0xd804d3e5a3a8db119f51a750ccf9c48ca0041c22,18
0x4008c34a3960b9a3304243063a8a5208c03e73e3,18
0xe5ef7530e8289d667e0fc3b5b23b5a6d9ea6f906,18
0x6272972ff2d18cd8847920a21d1d18257afc8a58,18
0xe553f6bccabfd91a795c9701ff86ab9bd547bdfe,18
