cluster_id,n_launches,fee_revenue_usd,vol_usd_24h,n_zero_volume_tokens,zero_volume_share,cost_usd,fee_to_cost_ratio,fee_per_launch_usd,vol_per_launch_usd,days_active_raw,days_active,net_usd,net_per_day_usd,net_per_day_usd_v2
0x0eaced04ec017ea0d9985b6bcd16657b5b2dac78,1641,317483.3653211541,31748336.53211541,0,0.0,2062.7499286094167,153.91267788586595,193.4694487027143,19346.94487027143,11.819375,11.819375,315420.6153925447,26686.74235249704,18680.719646747926
0x376d633018680caa4ec3f3e735a2797abf7f9cb2,481,132995.28858895978,13299528.858895978,0,0.0,604.6207895558375,219.96479592880007,276.4974814739289,27649.74814739289,6.518159722222222,6.518159722222222,132390.66779940395,20311.0499652298,14217.734975660858
0xa9707935dd88323fba9aa9d6a95e3ab82c1ba786,965,193137.324461168,19313732.4461168,140,0.1450777202072538,1213.0126027471586,159.22120184387373,200.1423051411067,20014.23051411067,11.463831018518519,11.463831018518519,191924.31185842084,16741.725479762295,11719.207835833606
0xd9448ddcd3e3c6a48988d291859666167e825114,67,15581.924286552388,1558192.4286552388,0,0.0,84.21952785912913,185.0155739725316,232.5660341276476,23256.60341276476,0.48961805555555554,1.0,15497.704758693259,15497.704758693259,10848.39333108528
0xc7e4ff08130b5951eb04eef415555d4b17197d55,849,170807.44429481222,17080744.42948122,0,0.0,1067.1996888418005,160.05199971542754,201.18662461108624,20118.662461108623,11.815844907407408,11.815844907407408,169740.24460597042,14365.476691350228,10055.833683945159
0xf47a150692e4d4223ff7d85150e17cf5cf105be8,801,167476.65661688684,16747665.661688684,0,0.0,1006.8633106740664,166.33504750984122,209.08446518962157,20908.446518962155,11.794328703703703,11.794328703703703,166469.79330621278,14114.39323833134,9880.075266831938
0x5d095c81f7ab2d88c6381104ecb6730590f99a04,663,166507.27478564729,16650727.47856473,0,0.0,833.3962234418301,199.79365168945867,251.1421942468285,25114.21942468285,11.813865740740741,11.813865740740741,165673.87856220544,14023.680495273473,9816.57634669143
0x7e353977b5b0b6627c59d51d2337cfa9afa76bd6,738,162495.38867890605,16249538.867890604,0,0.0,927.6718143289148,175.16473624506582,220.18345349445264,22018.345349445262,11.563738425925926,11.563738425925926,161567.71686457715,13971.927668507442,9780.349367955208
0xd404e0485e39d3a76e1ac4761db37d3bddc68e73,47,35083.86446716365,3508386.4467163654,0,0.0,59.07937028923984,593.8428980437778,746.4652014290139,74646.5201429014,3.989571759259259,3.989571759259259,35024.78509687441,8779.08387424956,6145.358711974692
0x026ba0aa63686278c3b3b3b9c43bedd8421e36cd,488,9293.128218561158,929312.821856116,389,0.7971311475409836,613.4198447052988,15.149702603810924,19.04329552983844,1904.329552983844,1.1293055555555556,1.1293055555555556,8679.70837385586,7685.881231307611,5380.116861915328
