cluster_id,n_launches,fee_revenue_usd,vol_usd_24h,n_zero_volume_tokens,zero_volume_share,cost_usd,fee_to_cost_ratio,fee_per_launch_usd,vol_per_launch_usd
0xf70da97812cb96acdf810712aa562db8dfa3dbef,2277,38752.7740344726,3875277.403447259,938,0.411945542380325,2862.206939331896,13.539473160357291,17.019224433233465,1701.9224433233462
0x96bb3da8c202cd35eb280ca191a9dcf1d316c27f,1752,1791.412563718112,179141.2563718112,1616,0.9223744292237442,2202.277803122302,0.8134362346014288,1.0224957555468677,102.24957555468676
0x7d22d3dd32f00848a54ebe00c00a9082a18d4e66,1751,829.6342982401203,82963.42982401203,1602,0.9149057681324957,2201.0207952438077,0.37693160375080487,0.47380599556831543,47.38059955683154
0xfd084e477f4cb05f4cd83aad32bd7110a3393ad0,1748,472.92686399757787,47292.68639975779,1620,0.9267734553775744,2197.2497716083244,0.21523582348647094,0.2705531258567379,27.055312585673793
0x792dd4c93cfa919e141e6a0be37360373633cdad,1747,1983.9633889458973,198396.33889458972,1626,0.9307384087006296,2195.9927637298297,0.9034471432301959,1.1356401768436732,113.56401768436733
0x0eaced04ec017ea0d9985b6bcd16657b5b2dac78,1641,317483.3653211541,31748336.532115415,0,0.0,2062.7499286094167,153.91267788586595,193.4694487027143,19346.94487027143
0xa9707935dd88323fba9aa9d6a95e3ab82c1ba786,965,193137.32446116797,19313732.446116798,140,0.14507772020725387,1213.0126027471586,159.22120184387373,200.1423051411067,20014.23051411067
0xc7e4ff08130b5951eb04eef415555d4b17197d55,849,170807.44429481222,17080744.42948122,0,0.0,1067.1996888418005,160.05199971542754,201.18662461108624,20118.662461108623
0xf47a150692e4d4223ff7d85150e17cf5cf105be8,801,167476.65661688684,16747665.661688685,0,0.0,1006.8633106740663,166.33504750984122,209.08446518962154,20908.446518962155
0x7e353977b5b0b6627c59d51d2337cfa9afa76bd6,738,162495.38867890605,16249538.867890604,0,0.0,927.6718143289149,175.16473624506582,220.18345349445264,22018.345349445262
