cluster_id,n_launches
0x930698f378445388a135670f5dce471f04394597,25
0x664d9aec7b2bf1c37b184f0c198a8a6e85592823,24
0x7734567d85678e4d715c1fcf454a944285028cfb,24
0xa4f75a09ed1c7eb70e78f97fb8b2838f3d3fcc93,24
0xe7c83dcee6f8bd37330d4d84934d73fa089d6fa8,24
0x8db5a0883936bbdb34c4b09a3874a10961ee445f,24
0xc6565d17223e1d218c3dfda889dbb58820530cf3,24
0xa24a6477d70045dad3c213e00b6ede8400c9e613,24
0xa464752bee1732c9c9f74a69c514e316f2f8e9ea,24
0xe1d2e5cdc052d4cb9368ec572ffe41a6bc13f740,24
0xd242fd71a8bfeb39fe0aec53f079666480bb48e7,24
0xcd3c0250ffc2d5599c4539efe6fcbf8acb9de445,23
0xe197fe1cf248f73849aa17cbbde7549467c26d45,23
0x989635a7f2a48e3aa0ca883191d5283edb111ce7,23
0xdf4c6df37c37cd93001964d5827a3d234e7b3aaa,22
0x41cb9737e854836d852485b7c788f71396815a78,22
0x04fcaed51e01339b8a4fdf5e9f586ead7f2541c4,22
0xca4c4e83f9b6231553aff2bb5f364fe174b351be,22
0xca3220ebad755415026196713eb0c1280b5e220d,21
0x6b42e998ee6c5ee3521d8892d0fdd3f9d8136761,21
0xea157dd118d0a555fd5487b57db34d1018533456,21
0x1ae1d6e5fb0f20965cc1adf47fe6fc7663ab1f6f,21
0x8654ff17f972e3b2f9fbea9250242fd5c38860a1,21
0xef4dd971e3f6d7bcb90030b78bc6c3fd5bc9f950,21
0x7a32d312281ca44922510b6b537802f6b249778d,21
0x4b1a0e0c9cdb4bd02464d830465c9f4a71dbc27a,20
0x52e96973101fef5292bdb4cc8c41eea3b3f5d20b,20
0x8604f37f4db3832ba354eb3ba87cc5f3b98f0b92,20
0x7527b2f7b4fbb5e17a0e948cdcc1b15b3c67a71f,20
0xe6b0694db883df556cfd193ee0c721de480c7b36,20
0x57637d02e448447851b640723746e6a19b286912,20
0x0b9b9e2c204e35dc0274ef7e8c79edd17816b13c,20
0x78a54c96a559ec2ec17c0419705f0c2f8bfc72de,20
0x57e75687a0344594f0c618bb2e581ecd91ad28d7,20
0x6d69135b01677a588dca64c63cc6dbdf3445bae7,20
0x19ebdfb3dc43645709791cde332931cfccf447dd,20
0xaed66477fee695e6c54056846085fff4a26bc54e,19
0xdab16a822e72c08312b33cc015b7e28eda298329,19
0x25da071e00ac3063d194d9ffdf9bf59096e0e1d2,19
0x8220ba17862f19bc51fbccc48b192e031abe7342,19
0x9083ee35d1f67ad1ec92987c798937594fb82908,19
0x4644b519476e1c746f0ff62b9448c0797ad6ec1c,19
0xfab402ddd62b7eb1ead401dcd510906d7a968721,19
0x6f0e773b7ced2ea56235843bd2c7c036e4ebfbe5,19
0x548abd2f7a66d90d83946a28677d576984f75370,19
0x707cd965aa77a86d2ccb724e03cb7d0c387ad89f,19
0xdc5f26b99db7e594bb12501dbd39287c6da455d3,18
0xbc3c7f7b2a495a0108db55f99776bcd5bca535fe,18
0x6e6ba7c46990e5501eb477a222033e0bb6e4c212,18
0x6ecb3cc5f1616153d9a428af4b65a772b13edcb6,18
0x7c452ebcc384d9a4b2b729661303d463f3f76da9,18
0xcf0c3c1d677c05acdeb6327d1ac27596f737f2cf,18
0x5c7a2ca9ee862d6921574cac19d847c5b121c608,18
0xe186dbb44c27a653ced6d1311a4b1c599e483025,18
0x4636ac0e2de72981a4f443b4f891da1102a22843,18
0x91604f590d66ace8975eed6bd16cf55647d1c499,18
0xe7411f26d87ec15040d0ce627128bf4fa78b2183,18
0xd546c27877c1782397c0a488b75cdf78b51e1041,18
0xa53a6d189f95c82bd42d3acfb660f82977e2c70f,18
0x8eadd7f3e7550f001c8fed4fae35873c118aacf1,17
0x1643325f4a8a60e0aeb291d68dc29733b9b3c62b,17
0xf3b871b934cf8d5a71695a2a376a983a4d20da15,17
0xb3ed7288d5156090d249437944da60e84666a7c9,17
0x741459de8ff77ac511c2d1561be61a386fc8de69,17
0xd49d210526bff8bf54080e23f197fe0134dd932e,17
0xa31172b933bf9fbb289e48d99dc72cb4872abec6,17
0x5dc6bc7a50cb58ebf732f52241cc4d2437c4bba5,17
0xb65e92f935f431371a23aa15ad370df8306ad377,17
0xd8ad58527c666ddf83569da262fbd158edadedfa,17
0x090c7168f4b1d3eefce03faf04c5ddd40404f9e6,17
0x4eb3ffab338f82a6f04ec04a50e8e774e3e17257,17
0x1e6adb3cb63e935a8320ea0b5e0779d27f839d9d,16
0x6499e8723ac4ccf6a0fec4fb2d987281050fbd94,16
0x8521148deec0a2ac975aff2b8e222bd6e937fcdd,16
0x3e35f6b436562bc84354880ee97cf863490dc960,16
0x3fd75ce921bfa5616f68b4092d6f4ae8140bd8a7,16
0x269910cf7370e2962dabd95edac0a850df3aef19,16
0x4c321a77c875ada45ad0181cfb1f314e414e5cb3,16
0x0e8bf243c6333188f4de0a18fd8396733bc57664,16
0xe655ff1c5bfb0af48a6cf11a0d15a76c41b4d46b,16
0x2eae392af0b6e77bf92460131f49c60b9366e0d8,16
0xc769661e3c59ef246014a4a08f637bcad7a1667d,16
0xcac459576552a44e7417f0cb5fc066b77b66768a,16
0x855a405d4bc65fabf1eba5cd0aeec3184b8da42d,16
0xbc505d8b71d87e3f6a7bae9d9a559b94bc9571d0,16
0x9802d50416712c3474bb3811c2708ebac8b3e033,15
0x13f6eeaa2fc4e7fe514f69e7e362060e6a32b4ba,15
0x76adcc43d01fce7ef0d1a36483560b69aa007ef4,15
0xf550ba54354f4a6710d2f14b77ebcab32bd494b9,15
0xd0bbde71393c9e5fd94897597692506ca8b023b4,15
0x160bc3ad8f64e9d805c2c3bba2d94daa38530962,15
0x1619ce5a1f0cdf27ce3f2d841282f837ab479dce,15
0x2f307b89e1ba95d0a76dfdfd97570e4194a7f3fd,15
0xef8cd0184564b4dc7fbde637da3c0955e6df40cc,15
0x0b3c2a6aa954da9d6b5688782f6a42bf6db6ab60,15
0xd033fef452e115f61e6a5b34ef4a0a1d3568beb3,15
0xac24af65d9937a35a765c3e9ae5ab61c7d77b055,14
0x99d011fe5e1f260cbf2c433cc449041a95546639,14
0xd167a224bfd08f0ba58b21623062c1216e9b9361,14
0x732448cada51b39755050d983daa5c52624ac0b5,14
0x69d79ab482406bed884b8bfea30ec1e4284406f3,14
0x05cbe1b2f0579b9249c7ee93f126bf2fa90371a4,14
0xcac393bbe167f9ef02ab018709ce7f34828203dd,14
0x8a02454baeba8396202073efbbf8f9f64dd4befb,14
0x74b0dfb656934abc3f13cd192efda9c8a301767a,14
0xd2bf46a1bd47e3395dae4bbf134d90d4afae09a8,14
0x87df53c815a990bd6b498ae195eb98fa6c66f29a,14
0x99742128832a4fac461f858ad045bc08cb832a9f,14
0xfd3e6dbe051c59ed51da69d323a4fa1737849019,14
0xd1fb6ba0a7aecb8c68cdf7b9eacad61398dd14e1,14
0xeb116eb8a3697837e74a3dc7d6c424a2a578d680,14
0x267835418fb80621d0f4aafb498777904ddaf2de,14
0x85421801c714450036c8e5ae1b5c9f8ee81be011,13
0xf31d0a032fd65cb391fc17b71f72effcad90cd6f,13
0x318fa6d334bff9959b530ae4b76e2dc2238f9f0d,13
0xf343067ad6ed9a1fdca41b6594fbc8372315f0a9,13
0xa20084d6a1b794949a092abc81e278b68990b385,13
0xbc9ce683ce03a19974674de592fe5f645ead753a,13
0xb6831ad732e80c95cb19d62f46e3b64aefcdfec4,13
0xc7f8e0fb5b15bba4899843fe10728fc16eb04bcd,13
0x3c4336f4a2c738d2a6116171bcfa2c9268a44207,13
0x24fa8f51d4e876fc42e3d877a7b4b110d03c6206,13
0x8370aebcbc99e6635aba8b0aab986922586eea01,13
0x7a838a46655d1e8f9af1731f90cd98e6ef99ebcc,13
0xfb8a6bc65aba721601e58940d70d2008978c2bc6,13
0xd034ccf94acb04d575f32109309197c1adc89a4d,13
0xb2a4016b1795aab99027d8a79d8e0e398504f97b,13
0x1fa470d46cc35a97fabc49892f0135e97257642e,13
0xbd4a34cde99c3d5c3b75ec4d5fbc7e9f596dafb8,12
0x5df8dde1cf4eb57e61d7645ac416174f9534434c,12
0x0ab6477a1779b6fb78cc270a3265f706c0fe0375,12
0x7f39a1cc8369f54a3a012f5ba120944467f95f34,12
0xb2e8f052e15f1034db9d91c1e024c2ba6bafba57,12
0xfd5fdbf187995fa9a7fd4dbf6de7f77bc09f5afb,12
0xe55550c679c0a5658bcd3a13550a05e2428667e8,12
0xfd73193f875a2243fd0ee3af7a39fc3c2595dc52,12
0xd482b6ca6e81dca7cda19e0e13afd647d1c0e26c,12
0xa7d23f65d4f19b0ed4edc9591c54fde5a89533c9,12
0x63749918a93a5717b9312ae3f3601b41106ce67c,12
0x958b419e7f4945f999e724fcd76111948be35d6d,12
0xbc2c93d74a67c3a853dd3ebbff1f01e7da16fc40,12
0x1710dcfb36c77ee0e70f7cd7252c49ac181ebd79,12
0xd20eaa0705f82127d669eb3110deea306805a636,12
0x32b8255ac64aa955770fd2c176e4afb729091a1d,12
0xc73db9ab131af573998602ff1423b98f6dca5c79,11
0x83c435ed6e5a865413d2645e7db447294785a149,11
0x7e916a17218922db16bd25d4ba3eecaf0f5dc6ec,11
0x681a657366e4cd098632ef5578aa5b0b9e01bf78,11
0x0b21e6ef00070468910546d0ceeb88ec2cfaa53a,11
0x2af7db3e95f9a53939423118a2f9e6fb27793861,11
0x0371189fba5ae7126b9d1f446cd9d5321188cdd3,11
0x51a844c366b2f64ac3f9bd1000d3ea22b9a7c419,11
0xc2914c9c67c13eda5fa43f8f1f620980f7314bfb,11
0x7c389efc2e6979582626f5257cc1945d82daea76,11
0x8dd575a5907a10beeeccbe5bf4834e0bc4991a7c,11
0x1527bbacf6ad55237dff4905c3997ce6aaec7d55,11
0x1c2099cb4ed569ada9375c3b6f1c82785bade378,11
0xd427a6542ce064d6d95712cd45ef5a23a1968b4f,11
0x7d022ff511392ecc1a39391b578adbd1d8c74b83,11
0xbb0941784c436419cec3fe3e510b46bca6d4e69e,11
0x8ac92b4cbc18047756586a7c14987179627d2728,11
0x1b4aee487974de82f1796ba3a79183639dc2f747,11
0xb77e6c2f2cca272b3bb72b71a8d7e52c0d9f32d1,11
0x0a8788ff869a01287593235b6f0e50bf623416c3,11
0x50b11a2aa57379b19a96004ef3ab91bc5dd63308,11
0x87b229273d88a2512aa76825ddd74f0df93c9c3d,11
0x2217e22fc4a4e7336d48509a99b15d40a6cbfbc6,11
0xa6dff8b1b01e6188d8cb9f95e31dfb7cd221b41f,11
0xf34395df7ff472508d40e62c91e36eecbeb23cbb,11
0x73e806d7b057436cf66fe739405e2e2438df04d1,11
0xe253de60b7c87d80bd1cc2d2cc1cff00fb5c50d1,11
0x4ea2218f69e7580a4869e2395a323318e838beb6,11
0x4ef8f9034d649ce1ce4aac329d43e86997ffe08d,11
0x30e3e6a7bde01b8e2a11a6db633403272abec947,11
0x3c945182433d9b141f85c55ba70e89ab8886788a,11
0x1887fa9edadeab7562b01cc3f4fa246ace2c3cdd,10
0xfddc653d14def9254523c653caf4bf621d8b6ce3,10
0xc30149333bfd01a59cfb7fa15a1e0c894ec8a796,10
0x2cd4585641da8eac52743962169c67760ed6c320,10
0xfe0d52296f4037c2236b0b6eabf7b1bf771718a8,10
0x1885fe5e3cbc090006b7a3ed692cd0db3009b9b2,10
0xed31beda032468ae6b58e169d7049e48d8b834b5,10
0xf5fd8cb413d6d072f29ffc911245a30cd41c8f57,10
0xb8c6ddefe2dec84df0d5860b16c21e7ac9b7c330,10
0x2fd155f8f5ad8e2df0120883de7a0a8f36ec401f,10
