cluster_id,n,p10,p25,p50,p75,p90,min,max,mean,share_gt0
0x0eaced04ec017ea0d9985b6bcd16657b5b2dac78,1641,92.10696143386049,117.90557025949254,165.50093598476315,240.18909508848517,326.77450807973474,64.37537641409943,842.3324488665438,192.21244258903664,1.0
0x376d633018680caa4ec3f3e735a2797abf7f9cb2,481,91.47487341819632,127.90971956542111,205.69420138098212,386.2903488278825,565.360812032648,66.34473039824694,896.230836390642,275.24047536025125,1.0
0xa9707935dd88323fba9aa9d6a95e3ab82c1ba786,965,-1.257006113677647,91.81391377238532,154.13605628795858,270.4857228414744,415.7782826341438,-1.257006113677647,1288.136596468598,198.88529902742903,0.8538860103626943
0xd9448ddcd3e3c6a48988d291859666167e825114,67,85.80599174043292,94.63389981619194,143.22861353504595,285.009572155707,469.823516670016,77.93225682383145,998.673651873753,231.30902801396996,1.0
0xc7e4ff08130b5951eb04eef415555d4b17197d55,849,85.10304753567108,105.6300809822217,160.6640564429323,264.44880533720135,374.52222419110615,55.256004655422394,883.974607222679,199.9296184974086,1.0
0xf47a150692e4d4223ff7d85150e17cf5cf105be8,801,83.39120965911344,114.5777760932823,176.34251664436272,254.57319411401477,363.8674079750004,58.38845469519616,935.6677717024384,207.8274590759439,1.0
0x5d095c81f7ab2d88c6381104ecb6730590f99a04,663,81.16523148057192,119.50319820071648,193.4489203818207,350.6382476109324,508.5813357679353,57.7481757570652,800.4958667155865,249.8851881331509,1.0
0x7e353977b5b0b6627c59d51d2337cfa9afa76bd6,738,83.8103886952715,99.60061226750025,161.58927398342342,295.1979482554691,410.55123554581866,1.13661389355057,1020.5329051047868,218.92644738077496,1.0
0xd404e0485e39d3a76e1ac4761db37d3bddc68e73,47,-1.2524632769265072,-1.2494562047313573,-1.071499034696925,0.4909482814263595,7.646920635749758,-1.2569872489306468,34286.1165891278,745.2081953153362,0.3404255319148936
0x026ba0aa63686278c3b3b3b9c43bedd8421e36cd,488,-1.257006113677647,-1.257006113677647,-1.257006113677647,-1.257006113677647,0.023462767468482703,-1.257006113677647,4332.964692722759,17.7862894161608,0.10655737704918032
