column_name,data_type
contract_address,varbinary
evt_tx_hash,varbinary
evt_tx_from,varbinary
evt_tx_to,varbinary
evt_tx_index,integer
evt_index,bigint
evt_block_time,timestamp(3)
evt_block_number,bigint
evt_block_date,date
amount0,int256
amount1,int256
fee,integer
id,varbinary
liquidity,uint256
sender,varbinary
sqrtpricex96,uint256
tick,integer
