column_name,data_type
contract_address,varbinary
evt_tx_hash,varbinary
evt_tx_from,varbinary
evt_tx_to,varbinary
evt_tx_index,integer
evt_index,bigint
evt_block_time,timestamp(3)
evt_block_number,bigint
evt_block_date,date
amount,uint256
amount0,uint256
amount1,uint256
owner,varbinary
sender,varbinary
ticklower,integer
tickupper,integer
