block_date,n_profitable_txs,n_survive_0_1gwei,n_survive_0_5gwei,n_survive_1_0gwei,total_profit_usd,total_profit_usd_at_0_1gwei,total_profit_usd_at_0_5gwei,total_profit_usd_at_1_0gwei,week_bucket
2026-09-09,13215,12468,10139,8248,194551.09811015535,192929.64803221478,186443.8477204523,178336.5973307489,2
2026-09-10,17209,16298,13276,10836,284129.98602408386,281718.11736329866,272070.64272015763,260011.29941623172,2
