column_name,data_type
abi_id,varchar
abi,array(varchar)
address,varbinary
from,varbinary
code,varbinary
name,varchar
namespace,varchar
dynamic,boolean
base,boolean
factory,boolean
detection_source,varchar
created_at,timestamp(3)
