distance_bucket,executor_tier,n_txs,total_profit_usd
0,tail,1098,71703.02997834956
1,tail,821,10658.052624598342
2,tail,314,2148.2199366512873
3+,tail,847,6956.5477226022995
none,tail,11655,106996.42914095546
0,top10,354,43046.253010301094
1,top10,87,4427.070839023741
2,top10,22,310.5011108015113
3+,top10,252,5452.689560200912
none,top10,1745,31593.06966612351
