_updated_at,amount,amount_raw,amount_usd,block_date,block_month,block_number,block_time,blockchain,contract_address,evt_index,from,price_usd,symbol,to,token_standard,trace_address,tx_from,tx_hash,tx_index,tx_to,unique_key
2026-08-28 00:17:13.125 UTC,1777.5862596675752,1777586259667575062955,,2026-08-28,2026-08-01,25850027,2026-08-28 00:03:35.000 UTC,ethereum,0x232ce3bd40fcd6f80f3d55a522d03f25df784ee2,4,0x1355ec205096f25166e2414adae6355893e23d34,,LIT,0x000000000004444c5dc75cb358380d2e3de08a90,erc20,,0x5b43453fce04b92e190f391a83136bfbecedefd1,0xfacd387ae39c2755c8d3f4662f840d7e79b660e672179b159c6ef3d414b4be1e,0,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,6f46fdd6e70d8211a9ca85e45d626a84
2026-08-28 00:17:13.125 UTC,1344.4773058964818,1344477305896481969664,,2026-08-27,2026-08-01,25849969,2026-08-27 23:51:59.000 UTC,ethereum,0x232ce3bd40fcd6f80f3d55a522d03f25df784ee2,71,0x9008d19f58aabd9ed0d60971565aa8510560ab41,,LIT,0x73781209f3b0f195d0d3fa9d6b95bb61c54c1ca6,erc20,,0x92fa0bfa8ecf7e3c3c10497534504d610ced3163,0x8e8c52ab8ea3efe3e099dafd9776c79bcf8d7bbf5a5c4288fec94c7976be84c9,5,0x8f5835e9d756c9bd934bce527157a4b0ef3c5cb7,2a9c7dd55ff48efed9f6605d5bc886b2
2026-08-28 00:17:13.125 UTC,11296.137428634589,11296137428634588867262,,2026-08-28,2026-08-01,25850026,2026-08-28 00:03:23.000 UTC,ethereum,0x232ce3bd40fcd6f80f3d55a522d03f25df784ee2,16,0x000000000004444c5dc75cb358380d2e3de08a90,,LIT,0x22ec88b9ff78c6f2458ab1a7aa8bb99d84bd4b86,erc20,,0x04d9634df20aa66b23f114d37c45fa6c6ab76d56,0x215d1ba163b259d2741766e225f39113303f6e2e855c073ad8db71af9a82276b,0,0x875d6d37ec55c8cf220b9e5080717549d8aa8eca,995dff564351ce94ee90530480a2d64a
2026-08-28 00:17:13.125 UTC,0.05959761450824048,59597614508240476,,2026-08-27,2026-08-01,25849798,2026-08-27 23:17:23.000 UTC,ethereum,0x232ce3bd40fcd6f80f3d55a522d03f25df784ee2,28,0xbe8c6f9f284c7cfe0264a5365e14b169300147d3,,LIT,0xd4627ecb405b64448ee6b07dcf860bf55590c83d,erc20,,0xd2897e3c1d3392d28d7147cb5157157a00538970,0x424c8ba4967f5e9b30346a9c84be14f5e0a5d92be03e000f11ed587ce0ffc122,0,0xca52d8c3169b4071f20262a1ab6433fe259a6736,ae37d3ed03ffb7f650d0c7eaf7a378ff
2026-08-28 00:17:13.125 UTC,12019.534203547122,12019534203547121088480,,2026-08-28,2026-08-01,25850026,2026-08-28 00:03:23.000 UTC,ethereum,0x232ce3bd40fcd6f80f3d55a522d03f25df784ee2,21,0x22ec88b9ff78c6f2458ab1a7aa8bb99d84bd4b86,,LIT,0x28bf6006d87de7f44445905aa4f5cb8c0d8cba02,erc20,,0x04d9634df20aa66b23f114d37c45fa6c6ab76d56,0x215d1ba163b259d2741766e225f39113303f6e2e855c073ad8db71af9a82276b,0,0x875d6d37ec55c8cf220b9e5080717549d8aa8eca,50a92d82d1165b8ec15aa414ceb53166
