price_source,token_address,token_standard,token_symbol
,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,erc20,AAPL
oracle,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,erc20,AAPL
,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,erc20,AMD
oracle,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,erc20,AMD
,0x12f190a9f9d7d37a250758b26824b97ce941bf54,erc20,AMZN
oracle,0x12f190a9f9d7d37a250758b26824b97ce941bf54,erc20,AMZN
oracle,0xcbb95bbf36099d34da091dc6fa6f49efa257cee3,erc20,CLSK
oracle,0x6330d8c3178a418788df01a47479c0ce7ccf450b,erc20,COIN
,0x6330d8c3178a418788df01a47479c0ce7ccf450b,erc20,COIN
,0xdf0992e440dd0be65bd8439b609d6d4366bf1cb5,erc20,CRCL
oracle,0xdf0992e440dd0be65bd8439b609d6d4366bf1cb5,erc20,CRCL
,0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,erc20,CRWV
oracle,0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,erc20,CRWV
oracle,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,erc20,DELL
prices_dex,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,erc20,DELL
,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,erc20,DELL
oracle,0x7f0abef0c07280f82c6a08ead09ded6bae2c13fc,erc20,EWY
oracle,0x1b0e319c6a659f002271b69db8a7df2f911c153e,erc20,GME
,0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3,erc20,GOOGL
oracle,0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3,erc20,GOOGL
,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,erc20,INTC
oracle,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,erc20,INTC
oracle,0x558378e000d634a36593e338ebacdd6207640efe,erc20,IONQ
,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,erc20,META
oracle,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,erc20,META
,0xe93237c50d904957cf27e7b1133b510c669c2e74,erc20,MSFT
oracle,0xe93237c50d904957cf27e7b1133b510c669c2e74,erc20,MSFT
oracle,0xec262a75e413fafd0df80480274532c79d42da09,erc20,MSTR
oracle,0xff080c8ce2e5feadaca0da81314ae59d232d4afd,erc20,MU
,0xff080c8ce2e5feadaca0da81314ae59d232d4afd,erc20,MU
oracle,0x9d9c6684f596f66a64c030b93a886d51fd4d7931,erc20,NBIS
oracle,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,erc20,NVDA
,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,erc20,NVDA
oracle,0xb0992820e760d836549ba69bc7598b4af75dee03,erc20,ORCL
,0xb0992820e760d836549ba69bc7598b4af75dee03,erc20,ORCL
oracle,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,erc20,PLTR
,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,erc20,PLTR
oracle,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,erc20,QQQ
,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,erc20,QQQ
oracle,0x284358abc07f9359f19f4b5b4ac91901be2597ba,erc20,RGTI
oracle,0x3b14c39e89d60d627b42a1a4ca45b5bb45fc12e2,erc20,RKLB
,0x92fd66527192e3e61d4ddd13322aa222de86f9b5,erc20,SGOV
prices_dex,0x92fd66527192e3e61d4ddd13322aa222de86f9b5,erc20,SGOV
oracle,0x92fd66527192e3e61d4ddd13322aa222de86f9b5,erc20,SGOV
oracle,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,erc20,SLV
,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,erc20,SLV
oracle,0xb90a19ff0af67f7779aff50a882a9cff42446400,erc20,SNDK
,0xb90a19ff0af67f7779aff50a882a9cff42446400,erc20,SNDK
oracle,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,erc20,SPY
,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,erc20,SPY
,0x322f0929c4625ed5bad873c95208d54e1c003b2d,erc20,TSLA
oracle,0x322f0929c4625ed5bad873c95208d54e1c003b2d,erc20,TSLA
,0xd917b029c761d264c6a312bbbcda868658ef86a6,erc20,USAR
oracle,0xd917b029c761d264c6a312bbbcda868658ef86a6,erc20,USAR
oracle,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,erc20,USO
,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,erc20,USO
