entry_n,entry_qty,entry_vol,exit12h_n,exit12h_qty,exit12h_vol,exit4h_n,exit4h_qty,exit4h_vol,p_n,p_qty,p_vol,t_checkpoint,token_address
224,49.78131783641732,38187.42084749718,135,20.56751677980794,15797.072670139562,212,24.44110426172753,18749.287516580564,175,20.338219711673364,15608.29059236897,2026-08-19 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
225,28.897444565296066,22191.41023589995,687,231.62752921931363,178289.15599542944,107,15.178448873500221,11641.916336645025,262,45.30688964725963,34784.246410727115,2026-08-19 01:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
211,35.18217622103596,26987.811316031228,981,292.2754982167948,225230.74412640338,128,55.89861870332662,42827.16053086687,171,23.132548088043745,17756.47049440656,2026-08-19 02:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
213,32.159037765478104,24674.81485461292,802,172.24374441652438,132649.3589860491,168,26.745098411158512,20514.836986586713,138,16.231177666893192,12448.988394561882,2026-08-19 03:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
124,19.53023412008207,14983.429948190405,553,87.06317047691138,67144.48779068676,143,32.8056026181009,25189.48319031921,212,24.44110426172753,18749.287516580564,2026-08-19 04:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
144,28.1726813958153,21613.111623611065,316,69.16189777972801,53323.71442262066,237,42.83444308254332,32902.26459045817,107,15.178448873500221,11641.916336645025,2026-08-19 05:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
201,36.6145987021964,28063.353966921473,246,27.40826184092559,21119.26428869973,230,43.82050511929664,33657.052587387254,128,55.89861870332662,42827.16053086687,2026-08-19 06:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
157,39.47085608778016,30288.204293538252,191,19.182051132589375,14778.277941745062,170,24.893586607688597,19119.80312171654,168,26.745098411158512,20514.836986586713,2026-08-19 07:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
147,40.189075877741224,30871.16678155457,615,106.75896512168785,82171.20125585036,135,20.56751677980794,15797.072670139562,143,32.8056026181009,25189.48319031921,2026-08-19 08:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
231,31.40656261654543,24124.342399105255,576,97.01301437552478,74037.37979031759,687,231.62752921931363,178289.15599542944,237,42.83444308254332,32902.26459045817,2026-08-19 09:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
201,49.87242797768441,38303.70867895137,528,70.74971215593565,54363.884748420925,981,292.2754982167948,225230.74412640338,230,43.82050511929664,33657.052587387254,2026-08-19 10:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
307,60.01307058785042,46092.7263274155,381,51.70855500547577,39815.20618602128,802,172.24374441652438,132649.3589860491,170,24.893586607688597,19119.80312171654,2026-08-19 11:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
965,120.10276140863957,92282.4879137553,199,25.35006706250189,19520.54451291794,553,87.06317047691138,67144.48779068676,135,20.56751677980794,15797.072670139562,2026-08-19 12:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
276,45.85023580280038,35344.19696860395,201,25.938432106786998,19982.47811227776,316,69.16189777972801,53323.71442262066,687,231.62752921931363,178289.15599542944,2026-08-19 13:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
512,135.81636193389141,104545.87965845189,176,27.378864759624005,21094.07326748195,246,27.40826184092559,21119.26428869973,981,292.2754982167948,225230.74412640338,2026-08-19 14:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
934,164.49354471990995,126136.57241569072,142,11.690021347253758,9005.248314091139,191,19.182051132589375,14778.277941745062,802,172.24374441652438,132649.3589860491,2026-08-19 15:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
