n_trades,token_address,vol_usd,week_start
8,0x3b14c39e89d60d627b42a1a4ca45b5bb45fc12e2,506.9878948301172,2026-08-19 00:00:00
53,0x3b14c39e89d60d627b42a1a4ca45b5bb45fc12e2,4044.005301294327,2026-08-26 00:00:00
3,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,0.2999292,2026-07-01 00:00:00
6,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,109.38088561536301,2026-07-08 00:00:00
368,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,22215.64151297093,2026-07-15 00:00:00
14323,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,1264544.355541852,2026-07-22 00:00:00
2548,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,545652.8518883557,2026-07-29 00:00:00
1397,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,159630.4874694063,2026-08-05 00:00:00
1365,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,540160.7203820911,2026-08-12 00:00:00
1810,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,438387.49421179306,2026-08-19 00:00:00
15368,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,2241726.926720981,2026-08-26 00:00:00
3,0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,0.2999292,2026-07-01 00:00:00
14,0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,1.1035295582812161,2026-07-08 00:00:00
250,0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,962.5690298010527,2026-07-15 00:00:00
645,0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,21022.779612911694,2026-07-22 00:00:00
710,0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,23202.852026425222,2026-07-29 00:00:00
167,0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,1581.7843186875702,2026-08-05 00:00:00
304,0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,1297.4727312753944,2026-08-12 00:00:00
389,0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,1990.0512255662434,2026-08-19 00:00:00
937,0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,37184.41275065707,2026-08-26 00:00:00
1605,0x6330d8c3178a418788df01a47479c0ce7ccf450b,105.9129149268565,2026-07-01 00:00:00
15,0x6330d8c3178a418788df01a47479c0ce7ccf450b,54.65495481714494,2026-07-08 00:00:00
227,0x6330d8c3178a418788df01a47479c0ce7ccf450b,2078.752331247948,2026-07-15 00:00:00
19803,0x6330d8c3178a418788df01a47479c0ce7ccf450b,2502164.6979503334,2026-07-22 00:00:00
6305,0x6330d8c3178a418788df01a47479c0ce7ccf450b,1004958.5674536449,2026-07-29 00:00:00
3617,0x6330d8c3178a418788df01a47479c0ce7ccf450b,525631.7683521667,2026-08-05 00:00:00
4173,0x6330d8c3178a418788df01a47479c0ce7ccf450b,569411.3348642796,2026-08-12 00:00:00
8714,0x6330d8c3178a418788df01a47479c0ce7ccf450b,1476694.0218013015,2026-08-19 00:00:00
30716,0x6330d8c3178a418788df01a47479c0ce7ccf450b,3386926.4969305727,2026-08-26 00:00:00
532,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,7557.233792700254,2026-07-01 00:00:00
2268,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,65736.3800614028,2026-07-08 00:00:00
3805,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,54454.90967584652,2026-07-15 00:00:00
10583,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,909096.9995481722,2026-07-22 00:00:00
5580,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,370929.11232123093,2026-07-29 00:00:00
3346,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,220381.9808529053,2026-08-05 00:00:00
11295,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,481983.28897994617,2026-08-12 00:00:00
8295,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,232474.8354823986,2026-08-19 00:00:00
18874,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,1384830.1202063363,2026-08-26 00:00:00
3,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,0.2999292,2026-07-01 00:00:00
625,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,19712.233824043822,2026-07-08 00:00:00
3133,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,47114.729203664945,2026-07-15 00:00:00
12676,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,1542184.5695035965,2026-07-22 00:00:00
5656,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,395631.22975852236,2026-07-29 00:00:00
6566,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,536466.9821114197,2026-08-05 00:00:00
6192,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,335498.9034120495,2026-08-12 00:00:00
7701,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,420959.7538539876,2026-08-19 00:00:00
40323,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,4689677.909865519,2026-08-26 00:00:00
5,0x92fd66527192e3e61d4ddd13322aa222de86f9b5,20.2937692,2026-07-01 00:00:00
40,0x92fd66527192e3e61d4ddd13322aa222de86f9b5,755.86114048677,2026-07-08 00:00:00
375,0x92fd66527192e3e61d4ddd13322aa222de86f9b5,17371.32831223387,2026-07-15 00:00:00
103,0x92fd66527192e3e61d4ddd13322aa222de86f9b5,440.3905544572031,2026-07-22 00:00:00
141,0x92fd66527192e3e61d4ddd13322aa222de86f9b5,8709.413476496533,2026-07-29 00:00:00
175,0x92fd66527192e3e61d4ddd13322aa222de86f9b5,29483.461755543205,2026-08-05 00:00:00
258,0x92fd66527192e3e61d4ddd13322aa222de86f9b5,8201.487713815044,2026-08-12 00:00:00
73,0x92fd66527192e3e61d4ddd13322aa222de86f9b5,6732.609142710591,2026-08-19 00:00:00
2000,0x92fd66527192e3e61d4ddd13322aa222de86f9b5,182657.73726632787,2026-08-26 00:00:00
1,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,0.010001320000000001,2026-07-01 00:00:00
23,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,13.537144421397999,2026-07-08 00:00:00
269,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,9168.718119053294,2026-07-15 00:00:00
1366,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,111636.32748912534,2026-07-22 00:00:00
