n_trades,n_trades_closed_hours,token_address,vol_usd
1022,953,0xba0cab75495255d0cb58e22b648bfed4ecd1f47e,69242.89576456933
1003,786,0xf9b46d3d1b22199d4d1025a9cedb540a33f1a2d5,28950.042853392606
914,884,0x25c288e6d899b9bc30160965ad9644c67e73be0c,57483.86366113957
825,770,0x756bc80af765c82da966a788858d65adf14f3793,46784.613455506915
822,667,0x36046893810a7e7fce501229d57dc3fc8c8716d0,18740.413860340464
761,609,0x156e175dd063a8ce274c50654ef40e0032b3fbcf,11508.503987977554
723,468,0x521cf887e6531c6f667b5bc4d896e5d9bfe8eb2e,34282.186415515906
638,533,0x0f17206447090e464c277571124dd2688e48aea9,15091.635897804155
599,510,0xf53f66751b1eff985311b693531e3290f600c410,43371.33092892848
599,591,0x561e2a49212b7ccf47f2744ccb83e200722fadbc,55287.34623944992
599,409,0x3b14c39e89d60d627b42a1a4ca45b5bb45fc12e2,26414.542203236153
558,529,0x63b814ddbd6bf339f25fed8c36158a008d5b373e,33882.63255706874
537,320,0xc01aa1fecec0605b13bc84874ff7256c0f5f562a,22964.312221262
519,508,0xeb30663bdff0622ef4e4e5cbb4e975f19f33f51d,39253.29960050314
507,486,0x0c3260af4b8f13a69c4c2dfb84fd667890cdfa14,30231.810408641995
490,322,0x8ef20885f94e3d9bc7eb3080279188bd5ed7c08c,23352.65190278213
447,341,0x8cf07c5a878945185d327aaa6e33faa95f95e7bf,26589.309316656385
394,258,0xf0ab0c93be6f41369d302e55db1a96b3c430212d,16080.383551249677
392,338,0x4e62068525ab11fe768e29dfd00ef909b9803016,30040.960905068132
381,317,0xb1969f6604ca1ae7a2cd3f1827876e914594ca2d,26829.28313647694
371,156,0x48961813349333209994750ffa89b3c5c22ec969,15580.111785427966
369,260,0x348be1a8663f15edde5cdf8a96bb69078f7ab6fd,10801.436899540124
315,268,0x9651342cea770ae9a2969ba2a52611523146aef9,31713.042009610857
288,229,0xbbd09f72b025360fee5c928053dca6248d35be54,14736.208091136543
287,251,0x4d21483a44bf67a86b77e3da301411880797d452,18749.96975889499
284,193,0x41f4267525a8aff329540ef24fd83d9044758b33,9417.427104297467
284,179,0x62200915e7deab1ec7f79fb246dadbb80eacddd0,8262.698302397204
279,155,0xcbb95bbf36099d34da091dc6fa6f49efa257cee3,9908.776490256194
276,207,0x9d9c6684f596f66a64c030b93a886d51fd4d7931,7594.43548300216
270,212,0x232b8ed6377be97813853b0ac104c4cda8378d1b,7566.771656963605
260,192,0xa249baf1063af884807c1e1400aef7784836917e,4433.520289944085
