n,qty,token_address,vol
96,41.472633404993005,0xe93237c50d904957cf27e7b1133b510c669c2e74,16242.502216379067
11,4.195195876843733,0xb0992820e760d836549ba69bc7598b4af75dee03,503.07505054422734
123,12.834953287341136,0xb90a19ff0af67f7779aff50a882a9cff42446400,16412.536627721533
184,44.48367871391456,0x86923f96303d656e4aa86d9d42d1e57ad2023fdc,21998.61593366257
172,68.10231623048527,0x322f0929c4625ed5bad873c95208d54e1c003b2d,20946.134586456927
14,3.5810018257773564,0x941ae714ec6d8130c7b75d67160ca08f1e7d11dd,1511.929378220271
27,215.11541214194028,0x411efb0e7f985935daec3d4c3ebaea0d0ad7d89f,11378.92601474342
35,11.34775219191942,0x894e1ec2d74ffe5aef8dc8a9e84686accb964f2a,1445.359115861232
2052,4387.18192612016,0xd0601ce157db5bdc3162bbac2a2c8af5320d9eec,880638.3524833231
143,1635.3911786165386,0xd917b029c761d264c6a312bbbcda868658ef86a6,23966.556201392435
197,79.82717667226396,0xff080c8ce2e5feadaca0da81314ae59d232d4afd,70340.85990048827
127,281.8559178192875,0xc72b96e0e48ecd4dc75e1e45396e26300bc39681,25139.698366554425
715,4672.548911762448,0x1b0e319c6a659f002271b69db8a7df2f911c153e,99678.60497408736
38,82.74593977528365,0xec262a75e413fafd0df80480274532c79d42da09,8053.221012382378
98,121.91446936919948,0x6330d8c3178a418788df01a47479c0ce7ccf450b,19832.131894418948
17,32.57460851821128,0xa30fa36db767ad9ed3f7a60fc79526fb4d56d344,4127.124323400431
107,119.39752538700024,0x117cc2133c37b721f49de2a7a74833232b3b4c0c,88370.98093178174
34,8.467192955446022,0x12f190a9f9d7d37a250758b26824b97ce941bf54,1979.907492801865
308,228.5979124654293,0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3,74968.267192578
37,15.334448228998792,0xd5f3879160bc7c32ebb4dc785f8a4f505888de68,10485.060418065708
144,58.286268816088,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,19648.796536768677
17,3.2255383536462543,0x5f10a1c971b69e47e059e1dc91901b59b3fb49c3,231.06092135822783
2,0.0005437391549879,0x3b14c39e89d60d627b42a1a4ca45b5bb45fc12e2,0.03905241009
54,12.750020818655448,0xc0d6457c16cc70d6790dd43521c899c87ce02f35,7697.044984557524
