n_trades,n_trades_closed_hours,projects,token_address,vol_usd
66,42,['uniswap'],0x3139d77ace0cbaa5bdfd38bd1f1911a794af0b0e,1111.860746243932
65,54,['uniswap'],0x072f979c2cac8e1391b0162a87fee094bf8744a0,707.3227320642313
63,26,['uniswap'],0x99d9d8663545151603863c5acbd6fc3218899009,1200.527763610616
62,36,['uniswap'],0x5f604fba1162193a4388a5dfa56f556f3e133cc2,697.1585250290556
62,41,['uniswap'],0x5b97476b922f3305131b8f0b9d333172e87f4aae,1561.4102013250226
61,37,['uniswap'],0xfb2664f07b6aadd29ea7a59d8859b1aeb8645cda,849.0923359927363
60,33,['uniswap'],0x3fb8976980d486084b2eb4a404bd12e72823958f,2126.0285112114125
60,26,['uniswap'],0xb853bc83a753342a4f8320ea680b4b1e84118d21,298.441314547128
60,34,['uniswap'],0x6006ed4b2f94110851ff7509d97d034f0eed9226,52.012268278200985
58,20,['uniswap'],0x26dcbfb34fc83cabd6990f449674efdc6097ff85,1219.078566000675
58,45,['uniswap'],0x0594134df3f171a354d9c85ebd65b7a6148f6d09,237.65696785319204
57,20,['uniswap'],0xfaf9cb261b5fcc1f404bb10cd39c5c6c1974e612,932.4266657503201
54,48,['uniswap'],0xbe274710bf3d9567e1b290ef6a5f9f90ca016fd8,410.9282881774512
53,21,['uniswap'],0x48d60243c66437c6ac3c2495be94747aed5dfe25,940.1015169153638
50,34,['uniswap'],0x7c148f74ac7445d1f28366b7fcdc6792a9fcd0cf,1545.9559542202037
47,34,['uniswap'],0x7066a64c24e4206cd62e83bf198c1e7eb361f51e,988.9307447731977
47,28,['uniswap'],0x94b8aae43a1ccc08aa64b7d1f29b4d920af4a0c9,180.30023699559598
47,29,['uniswap'],0x28babd556b60e53663b8615036479a29c2cdd1bf,330.86153850334705
47,37,['uniswap'],0xc27dbd474af5181c5a8777903690d8d262d12648,82.36891196336798
45,30,['uniswap'],0x9ab02ead789b6903c3c44d0ed32f9c707cdf12fd,152.96408236689098
44,28,['uniswap'],0x8ff63eaeee3fe54ba450c4f5538064ec5a893aef,51.925265601899
43,25,['uniswap'],0x77e655e37f4d913fb9540e0d541d824171a60e81,51.970063806396
42,30,['uniswap'],0x1c690498150252222c275a5ced69d3a6b1f52d5e,33.05463486581001
42,22,['uniswap'],0xbf449977089c718c004a66c554b26b94ef3ad4de,1046.313755080443
41,35,['uniswap'],0x9ece29a4a2397c0a35fb5fa8ee2b9509130a98cc,52.072425458398
41,33,['uniswap'],0xaea445c5f3db1a462998ccc422a875a361ee5d99,471.362117404703
40,30,['uniswap'],0xd63abb2c13d7a8421a8017a712802053568e3c1d,23.33509799073
38,29,['uniswap'],0xa48f22a46c0f1c46ca7d111cb6c137c271987180,120.99210930195399
31,24,['uniswap'],0xf7181b63fdb858558a74ba96bc42732684cd7965,52.00396496971999
30,7,['uniswap'],0xc93f4d80e268ab922e871bd169156c3cc41894e6,1009.6616604896265
30,6,['uniswap'],0x4d67253bc223e6b0e104f1084c1fb2b669ddc41b,336.7579945661855
18,7,['uniswap'],0xeaf2512dfc1beac608f8794b3793cd4e02894aa6,487.6756056953013
16,3,['uniswap'],0x93dbb1d2dc5d63f4abacff30485273f538df68ac,151.10043
10,1,['uniswap'],0xeb61c0ed490a367d4e3631ccf8a74b3bfc7e775d,306.5335285332379
8,3,['uniswap'],0x63d5a3b6939a33f1e75d8bcd85759858239600db,150.162411830577
