entry_n,entry_qty,entry_vol,exit12h_n,exit12h_qty,exit12h_vol,exit4h_n,exit4h_qty,exit4h_vol,p_n,p_qty,p_vol,t_checkpoint,token_address
127,50.57839391470033,39016.95476749939,122,19.87140460031184,15362.243416074205,157,23.17727963084477,17907.033151760763,241,58.1105384984598,44826.62736392945,2026-08-12 00:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
188,71.7266843688406,55343.51025360809,365,183.07052569859675,141683.28730619844,124,38.94893613942471,30038.69046440302,162,52.086305729540285,40155.62692268358,2026-08-12 01:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
180,26.149840454026428,20180.619879121536,620,334.5056256664997,258934.24055543018,191,109.26449181041353,84353.71088199168,161,55.11383632173837,42544.33639132544,2026-08-12 02:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
118,45.91349675894067,35445.833749261445,254,126.26962343397163,97601.92921046897,146,44.40803555181264,34274.66296028573,137,117.56662631256351,90782.3123920134,2026-08-12 03:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
150,25.10047101439711,19375.58453203655,223,149.23423725126364,115258.02651406653,67,14.719787973773244,11357.572841774572,157,23.17727963084477,17907.033151760763,2026-08-12 04:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
125,32.68302577937352,25202.772823021125,437,296.5947396800435,229535.82700259218,102,37.149991391547815,28705.455714318403,124,38.94893613942471,30038.69046440302,2026-08-12 05:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
145,58.32853324424228,45002.30396038721,330,79.01550400473216,61115.23228898218,254,56.6430427598621,43745.115957508395,191,109.26449181041353,84353.71088199168,2026-08-12 06:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
143,44.277928759232665,34199.2666506186,191,57.74146438030707,44651.510113037184,95,23.9625640947044,18521.28396062979,146,44.40803555181264,34274.66296028573,2026-08-12 07:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
126,41.87249822553651,32345.792007251464,580,221.87897818934505,171640.5406468572,122,19.87140460031184,15362.243416074205,67,14.719787973773244,11357.572841774572,2026-08-12 08:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
110,37.892984616694385,29282.424341712216,271,55.20281530524483,42728.035203732616,365,183.07052569859675,141683.28730619844,102,37.149991391547815,28705.455714318403,2026-08-12 09:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
148,28.18405572356613,21781.1720809833,1542,128.09764421436506,99113.85115612469,620,334.5056256664997,258934.24055543018,254,56.6430427598621,43745.115957508395,2026-08-12 10:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
169,67.99520999362836,52552.97879078666,728,85.83648521810717,66415.71869465693,254,126.26962343397163,97601.92921046897,95,23.9625640947044,18521.28396062979,2026-08-12 11:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
97,66.05668077827038,51088.90592865995,698,88.54546278299487,68417.65974730747,223,149.23423725126364,115258.02651406653,122,19.87140460031184,15362.243416074205,2026-08-12 12:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
206,99.1724730793995,76825.31778772503,828,135.96391830103414,104981.69921411932,437,296.5947396800435,229535.82700259218,365,183.07052569859675,141683.28730619844,2026-08-12 13:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
436,167.76175102980932,129854.22814297889,388,138.0587596745181,106792.824871176,330,79.01550400473216,61115.23228898218,620,334.5056256664997,258934.24055543018,2026-08-12 14:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
220,121.67355224923989,94075.51298490934,235,47.933040763645685,37023.21721872661,191,57.74146438030707,44651.510113037184,254,126.26962343397163,97601.92921046897,2026-08-12 15:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
277,117.60842613811029,90930.13752661753,112,18.68933834439631,14450.585748588062,580,221.87897818934505,171640.5406468572,223,149.23423725126364,115258.02651406653,2026-08-12 16:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
373,81.16382911601922,62788.26651797626,127,17.06917382004726,13214.20259065061,271,55.20281530524483,42728.035203732616,437,296.5947396800435,229535.82700259218,2026-08-12 17:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
230,72.721282591561,56274.999737264014,75,8.290319165753045,6431.7105100613035,1542,128.09764421436506,99113.85115612469,330,79.01550400473216,61115.23228898218,2026-08-12 18:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
385,107.55350569630006,83172.75738043443,90,22.227581709595963,17173.361147832347,728,85.83648521810717,66415.71869465693,191,57.74146438030707,44651.510113037184,2026-08-12 19:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
223,54.16288253261415,40737.027752207745,126,44.387378483328575,34355.621773154,698,88.54546278299487,68417.65974730747,580,221.87897818934505,171640.5406468572,2026-08-12 20:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
245,297.3890692665185,230423.3728651658,138,44.51030899853789,34459.091705863815,828,135.96391830103414,104981.69921411932,271,55.20281530524483,42728.035203732616,2026-08-12 21:00:00,0x117cc2133c37b721f49de2a7a74833232b3b4c0c
